subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag
S-37e3ad,A-b30291,25-04-2024,,Basic,5,95,1140,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-b17d04,A-e19ff6,06-03-2024,,Pro,8,392,4704,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-c27134,A-dec005,31-03-2024,,Pro,21,0,0,TRUE,FALSE,FALSE,FALSE,monthly,TRUE
S-3bd427,A-2e3bad,04-12-2024,27-12-2024,Basic,61,1159,13908,FALSE,FALSE,FALSE,TRUE,monthly,TRUE
S-82989b,A-f5641b,30-11-2024,,Basic,31,589,7068,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-082b15,A-aa9511,09-02-2024,,Enterprise,97,19303,231636,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-434140,A-075038,25-02-2024,,Pro,17,833,9996,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-c07ede,A-cea1f0,07-10-2024,,Pro,8,392,4704,FALSE,FALSE,FALSE,FALSE,annual,FALSE
S-287914,A-a1b80b,15-08-2024,,Pro,16,784,9408,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-b3bd43,A-b2225d,03-11-2024,,Pro,50,2450,29400,FALSE,FALSE,FALSE,FALSE,monthly,FALSE
S-4c82da,A-b9eed8,01-08-2024,,Pro,11,539,6468,FALSE,FALSE,FALSE,FALSE,monthly,FALSE
S-c75159,A-bcf87c,22-08-2024,28-09-2024,Enterprise,31,6169,74028,FALSE,FALSE,FALSE,TRUE,monthly,TRUE
S-b5643b,A-9f9299,11-06-2024,,Enterprise,28,5572,66864,FALSE,FALSE,FALSE,FALSE,annual,FALSE
S-49a9aa,A-10b8f2,16-06-2023,,Basic,51,969,11628,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-2877e6,A-95b24a,28-06-2024,,Enterprise,38,0,0,TRUE,TRUE,TRUE,FALSE,monthly,TRUE
S-8c10c1,A-0651a4,25-12-2024,,Enterprise,65,12935,155220,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-d7d398,A-fb186e,28-12-2024,,Enterprise,29,0,0,TRUE,FALSE,FALSE,FALSE,annual,TRUE
S-ddad91,A-40906c,21-06-2024,,Enterprise,92,0,0,TRUE,FALSE,FALSE,FALSE,annual,FALSE
S-6762fa,A-40a557,12-02-2024,,Enterprise,16,3184,38208,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-bb1cf1,A-3a5ad8,07-09-2024,,Enterprise,9,0,0,TRUE,TRUE,FALSE,FALSE,monthly,FALSE
S-a805a5,A-2789e3,18-09-2024,,Basic,33,627,7524,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-da0a69,A-49b828,11-05-2023,,Pro,6,294,3528,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-59c5d7,A-c16b88,19-10-2024,,Basic,35,665,7980,FALSE,TRUE,FALSE,FALSE,monthly,TRUE
S-d3faae,A-5c9849,12-11-2024,,Basic,19,361,4332,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-73a4e4,A-993085,09-09-2024,,Pro,31,1519,18228,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-35c8a3,A-e4144b,22-12-2024,,Enterprise,41,8159,97908,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-99fbf7,A-7dacce,10-09-2024,,Enterprise,12,2388,28656,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-e97b9f,A-a0ca4e,16-03-2024,,Enterprise,12,2388,28656,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-763d33,A-ef84cf,25-07-2024,,Basic,23,437,5244,FALSE,FALSE,TRUE,FALSE,annual,FALSE
S-323782,A-7920cc,22-02-2024,,Basic,39,741,8892,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-1cff18,A-2789e3,03-10-2024,,Basic,11,209,2508,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-ad39ef,A-e40f45,25-08-2024,,Pro,21,0,0,TRUE,TRUE,FALSE,FALSE,annual,TRUE
S-bf806d,A-7c5768,21-09-2024,,Basic,62,1178,14136,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-36f6ec,A-ccb686,16-08-2024,,Pro,21,1029,12348,FALSE,TRUE,FALSE,FALSE,monthly,TRUE
S-aff55c,A-bb2f49,14-01-2024,29-12-2024,Pro,8,0,0,TRUE,FALSE,FALSE,TRUE,monthly,TRUE
S-b9fc6c,A-2ebb4b,16-06-2023,,Basic,41,779,9348,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-7f8cd8,A-53f4e3,18-09-2024,17-11-2024,Enterprise,20,3980,47760,FALSE,FALSE,FALSE,TRUE,monthly,TRUE
S-e912e6,A-a8d89d,12-12-2023,,Enterprise,78,15522,186264,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-fef85a,A-7f8241,06-08-2024,,Pro,34,1666,19992,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-36d5c9,A-54ecc2,16-09-2023,,Enterprise,11,2189,26268,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-b9ff15,A-95b24a,08-01-2024,,Enterprise,43,8557,102684,FALSE,FALSE,FALSE,FALSE,annual,FALSE
S-10bd09,A-bbc346,03-09-2024,,Basic,50,950,11400,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-12bfc8,A-31ab9a,06-12-2024,,Enterprise,29,5771,69252,FALSE,FALSE,FALSE,FALSE,monthly,FALSE
S-f5c472,A-faa28c,09-07-2024,,Basic,48,912,10944,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-dbc1ca,A-8adedc,24-04-2024,,Enterprise,14,2786,33432,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-dc6dfd,A-e08cd3,30-09-2024,,Pro,67,3283,39396,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-b2d472,A-bcf87c,27-08-2024,11-12-2024,Enterprise,10,1990,23880,FALSE,FALSE,FALSE,TRUE,annual,FALSE
S-9dfce0,A-e6afc1,30-08-2024,,Pro,2,98,1176,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-9cb6a7,A-7f29a7,21-12-2024,,Basic,41,779,9348,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-dabcd2,A-3ce5b8,22-09-2024,,Pro,28,0,0,TRUE,FALSE,FALSE,FALSE,monthly,TRUE
S-8c3cc8,A-b2225d,17-10-2024,,Basic,47,0,0,TRUE,FALSE,FALSE,FALSE,monthly,TRUE
S-2923fc,A-fa3095,08-07-2024,,Enterprise,70,13930,167160,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-f0a2e5,A-55f257,05-06-2024,,Basic,23,0,0,TRUE,FALSE,FALSE,FALSE,annual,TRUE
S-025bea,A-9affe6,25-06-2024,,Pro,17,833,9996,FALSE,TRUE,FALSE,FALSE,monthly,TRUE
S-0e499f,A-296d7c,17-08-2024,,Pro,16,784,9408,FALSE,FALSE,FALSE,FALSE,annual,FALSE
S-0267b7,A-65a46c,17-10-2024,04-12-2024,Enterprise,13,0,0,TRUE,FALSE,FALSE,TRUE,monthly,TRUE
S-b5b9a5,A-812c5b,25-07-2024,,Basic,55,1045,12540,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-8e45ba,A-7f8241,13-12-2023,,Basic,34,646,7752,FALSE,FALSE,FALSE,FALSE,annual,FALSE
S-37ed34,A-d4ac0e,07-07-2024,,Enterprise,20,3980,47760,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-65dbf3,A-17939a,28-12-2024,,Basic,36,684,8208,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-ce5450,A-0a282f,25-12-2024,28-12-2024,Pro,8,0,0,TRUE,FALSE,FALSE,TRUE,annual,TRUE
S-6c969d,A-855a48,08-05-2024,,Basic,14,266,3192,FALSE,FALSE,FALSE,FALSE,monthly,FALSE
S-522aef,A-f3ff05,22-08-2024,,Pro,4,196,2352,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-82db05,A-417d2f,09-12-2024,,Pro,26,1274,15288,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-162596,A-462d45,29-02-2024,,Pro,18,0,0,TRUE,FALSE,FALSE,FALSE,monthly,TRUE
S-f703bd,A-202b67,04-09-2024,,Pro,11,539,6468,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-a1d6ad,A-eafc6e,01-09-2024,,Pro,27,1323,15876,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-8b1fc1,A-309e54,26-12-2024,,Basic,15,0,0,TRUE,FALSE,FALSE,FALSE,monthly,TRUE
S-09cdac,A-82861f,31-07-2024,04-09-2024,Basic,41,779,9348,FALSE,FALSE,FALSE,TRUE,annual,TRUE
S-fa5301,A-ba6516,14-03-2024,,Pro,55,0,0,TRUE,FALSE,FALSE,FALSE,monthly,FALSE
S-69937b,A-08e34e,08-08-2024,,Pro,14,686,8232,FALSE,FALSE,FALSE,FALSE,annual,FALSE
S-f2537d,A-e43bf7,24-01-2024,,Pro,44,2156,25872,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-27f7b2,A-a1b80b,03-04-2024,,Basic,38,722,8664,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-9c2b8e,A-443f6f,26-12-2024,,Basic,19,361,4332,FALSE,TRUE,FALSE,FALSE,annual,TRUE
S-a4f26d,A-32728c,21-05-2023,,Pro,20,980,11760,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-0cb6ed,A-ac85cd,09-11-2024,18-12-2024,Pro,53,2597,31164,FALSE,FALSE,FALSE,TRUE,annual,TRUE
S-367dee,A-e19ff6,29-06-2024,,Pro,1,49,588,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-3b9ad8,A-6e08f3,24-12-2024,,Enterprise,28,5572,66864,FALSE,FALSE,FALSE,FALSE,monthly,FALSE
S-c9f8c1,A-544d0a,23-07-2024,,Enterprise,5,995,11940,FALSE,FALSE,TRUE,FALSE,monthly,TRUE
S-57cd05,A-8b0451,26-10-2024,,Basic,41,779,9348,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-e505c1,A-8ae3fc,17-09-2024,,Pro,34,1666,19992,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-121b4d,A-8ae3fc,22-11-2024,,Basic,9,171,2052,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-72b4f2,A-4437e4,06-02-2024,,Pro,49,2401,28812,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-c9b0cc,A-4d1e75,11-10-2024,,Enterprise,38,7562,90744,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-27c993,A-098560,17-11-2024,,Enterprise,4,796,9552,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-8b9889,A-ac9111,18-08-2024,,Pro,21,1029,12348,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-2214c6,A-3c1a3f,07-10-2024,,Pro,82,4018,48216,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-ce695e,A-cb6cc6,25-05-2024,,Enterprise,13,0,0,TRUE,FALSE,FALSE,FALSE,annual,FALSE
S-066d80,A-9b9fe9,17-08-2024,,Pro,5,245,2940,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-228457,A-029f69,24-05-2024,,Enterprise,24,4776,57312,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-e50612,A-c7e58b,15-07-2024,,Basic,13,247,2964,FALSE,FALSE,FALSE,FALSE,annual,FALSE
S-64fba3,A-00bed1,16-07-2024,,Enterprise,28,5572,66864,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-2372d2,A-cea1f0,22-12-2024,,Enterprise,21,4179,50148,FALSE,FALSE,FALSE,FALSE,annual,FALSE
S-2661dc,A-c37cab,07-08-2024,,Pro,20,0,0,TRUE,FALSE,FALSE,FALSE,monthly,TRUE
S-427275,A-4c38bc,14-07-2024,,Enterprise,36,7164,85968,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-628729,A-157070,05-10-2024,,Enterprise,23,4577,54924,FALSE,FALSE,TRUE,FALSE,monthly,TRUE
S-e260ff,A-bcf87c,09-12-2024,,Enterprise,21,4179,50148,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-89c03a,A-8ae3fc,20-09-2024,,Pro,9,441,5292,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-86455a,A-1b9609,01-12-2023,,Pro,12,588,7056,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-3660bb,A-474ad4,14-12-2024,,Enterprise,10,0,0,TRUE,FALSE,FALSE,FALSE,monthly,FALSE
S-6bf7d7,A-9bfc9f,23-03-2024,,Pro,53,2597,31164,FALSE,FALSE,TRUE,FALSE,annual,FALSE
S-feccd8,A-812c5b,22-12-2024,,Enterprise,55,10945,131340,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-0e4b0c,A-39b19f,28-02-2023,15-06-2023,Pro,24,1176,14112,FALSE,FALSE,TRUE,TRUE,annual,TRUE
S-0e0578,A-de58ca,09-07-2023,,Basic,15,285,3420,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-74538d,A-e60f9d,13-11-2024,,Pro,46,2254,27048,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-c2a6cb,A-9affe6,19-10-2023,,Enterprise,7,1393,16716,FALSE,TRUE,FALSE,FALSE,annual,FALSE
S-1bd2ec,A-e60f9d,25-12-2024,28-12-2024,Basic,38,722,8664,FALSE,FALSE,FALSE,TRUE,annual,TRUE
S-3cc352,A-d27f50,06-08-2024,,Pro,44,2156,25872,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-124207,A-fdfc91,31-08-2023,,Basic,29,551,6612,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-76e7d9,A-712f1c,09-02-2024,,Enterprise,44,8756,105072,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-44f453,A-19b2c8,10-02-2024,,Enterprise,20,3980,47760,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-03a97f,A-f51f16,15-03-2024,,Pro,60,2940,35280,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-80c01c,A-d3c88e,16-12-2024,,Basic,16,304,3648,FALSE,TRUE,FALSE,FALSE,annual,TRUE
S-666181,A-eb1312,09-10-2024,,Basic,71,1349,16188,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-401496,A-68f37c,13-08-2023,22-06-2024,Enterprise,4,796,9552,FALSE,TRUE,FALSE,TRUE,monthly,TRUE
S-ca0c98,A-fda07f,28-11-2024,,Pro,7,343,4116,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-017e33,A-f9cc74,08-11-2024,25-11-2024,Basic,53,1007,12084,FALSE,FALSE,FALSE,TRUE,monthly,TRUE
S-183073,A-e7a1e2,19-07-2024,,Enterprise,14,2786,33432,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-22f503,A-7a0d69,06-09-2024,,Basic,6,114,1368,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-7de1b7,A-4d1e75,27-10-2024,,Enterprise,20,3980,47760,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-c7f564,A-902ef7,23-11-2024,,Pro,83,0,0,TRUE,TRUE,FALSE,FALSE,annual,TRUE
S-ceffe9,A-89ee83,23-11-2024,,Enterprise,2,398,4776,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-9b2c95,A-e60f9d,24-11-2024,05-12-2024,Pro,29,0,0,TRUE,FALSE,FALSE,TRUE,annual,TRUE
S-cf6ec1,A-d77f4c,04-08-2024,,Enterprise,22,4378,52536,FALSE,TRUE,FALSE,FALSE,monthly,FALSE
S-a44d72,A-b30291,12-06-2024,,Pro,18,882,10584,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-0b0ffa,A-180abf,17-01-2024,19-04-2024,Basic,64,0,0,TRUE,FALSE,FALSE,TRUE,annual,TRUE
S-02af5d,A-d82ef9,07-08-2024,,Enterprise,26,0,0,TRUE,FALSE,FALSE,FALSE,annual,TRUE
S-d07c53,A-249769,24-09-2024,,Basic,21,399,4788,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-c67b80,A-eb2fdc,24-02-2024,,Pro,31,1519,18228,FALSE,FALSE,FALSE,FALSE,monthly,FALSE
S-5d68fb,A-5f2961,02-12-2024,,Pro,49,2401,28812,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-fc9cc3,A-9b9fe9,01-01-2024,,Pro,24,1176,14112,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-17f71d,A-e40f45,15-05-2024,,Pro,44,2156,25872,FALSE,TRUE,FALSE,FALSE,monthly,TRUE
S-5895f0,A-bcf664,05-10-2023,,Basic,8,0,0,TRUE,FALSE,FALSE,FALSE,annual,TRUE
S-b042d9,A-0e966d,15-11-2024,,Enterprise,11,2189,26268,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-ffd1ee,A-f03140,06-11-2024,,Pro,27,0,0,TRUE,FALSE,FALSE,FALSE,annual,TRUE
S-9c4bcd,A-a7bd4b,14-05-2024,,Pro,5,245,2940,FALSE,TRUE,FALSE,FALSE,monthly,TRUE
S-4f91d0,A-7f8241,12-10-2024,,Basic,34,646,7752,FALSE,FALSE,FALSE,FALSE,monthly,FALSE
S-672f1b,A-eafc6e,08-08-2023,,Pro,27,1323,15876,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-101201,A-d49cc5,13-02-2024,,Basic,50,950,11400,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-eea643,A-54ecc2,30-10-2024,,Enterprise,28,5572,66864,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-5f9a67,A-6da850,04-12-2023,,Pro,5,245,2940,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-327e7c,A-4e960a,07-02-2024,,Enterprise,17,0,0,TRUE,FALSE,FALSE,FALSE,annual,TRUE
S-d97c5f,A-533452,25-11-2024,,Pro,101,4949,59388,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-029c20,A-f44180,13-12-2024,,Basic,10,0,0,TRUE,FALSE,FALSE,FALSE,annual,FALSE
S-a74462,A-7c83a1,14-05-2024,,Pro,48,2352,28224,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-02ec76,A-e60f9d,17-09-2024,,Pro,29,1421,17052,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-d1c9e3,A-075038,09-01-2024,,Basic,17,323,3876,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-51d8db,A-cc1d8d,30-12-2024,,Enterprise,6,1194,14328,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-c3c85e,A-271f46,31-10-2024,,Basic,38,722,8664,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-44a646,A-1e1b80,26-12-2023,,Basic,50,950,11400,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-431c03,A-e4bf56,02-12-2024,19-12-2024,Enterprise,37,7363,88356,FALSE,FALSE,FALSE,TRUE,monthly,TRUE
S-4f0027,A-ff79f2,31-12-2024,31-12-2024,Enterprise,19,3781,45372,FALSE,FALSE,FALSE,TRUE,annual,TRUE
S-6c9ee1,A-6da850,20-02-2024,,Enterprise,23,0,0,TRUE,FALSE,FALSE,FALSE,monthly,TRUE
S-396a84,A-5b4ebb,23-10-2024,27-11-2024,Basic,21,399,4788,FALSE,FALSE,FALSE,TRUE,monthly,FALSE
S-6bea24,A-3f9cc0,06-07-2024,,Basic,22,0,0,TRUE,FALSE,FALSE,FALSE,monthly,TRUE
S-259804,A-d4ac0e,01-10-2024,,Basic,28,532,6384,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-33e40e,A-86cdb4,10-10-2024,29-12-2024,Enterprise,2,398,4776,FALSE,FALSE,FALSE,TRUE,annual,TRUE
S-fbd522,A-310452,28-12-2024,,Pro,9,0,0,TRUE,FALSE,FALSE,FALSE,annual,FALSE
S-bbafad,A-854864,27-12-2024,30-12-2024,Basic,20,380,4560,FALSE,FALSE,FALSE,TRUE,annual,TRUE
S-3edc14,A-d82ef9,04-10-2024,,Pro,26,0,0,TRUE,FALSE,FALSE,FALSE,annual,TRUE
S-11e29d,A-71615e,13-10-2024,,Basic,32,608,7296,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-1feff8,A-5fe118,06-12-2024,,Enterprise,39,7761,93132,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-61e86c,A-39ddf4,07-12-2024,,Enterprise,40,7960,95520,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-af41f0,A-e83938,27-06-2024,,Basic,2,38,456,FALSE,FALSE,FALSE,FALSE,annual,FALSE
S-65ae02,A-671f31,14-12-2024,,Pro,59,2891,34692,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-f7fccd,A-443b7c,18-11-2024,,Basic,6,0,0,TRUE,TRUE,FALSE,FALSE,annual,TRUE
S-7904d3,A-d4e0d4,30-11-2024,03-12-2024,Enterprise,117,23283,279396,FALSE,FALSE,FALSE,TRUE,monthly,TRUE
S-48a54e,A-b2225d,29-10-2024,,Basic,47,0,0,TRUE,FALSE,FALSE,FALSE,monthly,TRUE
S-4a08bd,A-e08cd3,11-10-2024,,Pro,67,3283,39396,FALSE,FALSE,FALSE,FALSE,annual,FALSE
S-faa8ec,A-2e4581,09-12-2024,,Basic,11,209,2508,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-8db104,A-4a267b,18-10-2024,,Pro,25,1225,14700,FALSE,FALSE,TRUE,FALSE,monthly,TRUE
S-3c0121,A-7c83a1,30-12-2024,,Pro,24,1176,14112,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-13ca37,A-6843f2,21-12-2024,,Pro,21,0,0,TRUE,FALSE,TRUE,FALSE,monthly,TRUE
S-163e64,A-dfbd31,08-11-2024,,Enterprise,62,12338,148056,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-4d1ba6,A-00cac8,04-04-2024,,Enterprise,9,0,0,TRUE,FALSE,FALSE,FALSE,annual,FALSE
S-e98d6b,A-309e54,31-12-2024,,Basic,15,285,3420,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-041624,A-6843f2,12-12-2024,,Enterprise,21,4179,50148,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-b78829,A-2e4581,12-11-2024,,Pro,20,980,11760,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-ca1c21,A-f92792,02-12-2024,,Basic,9,0,0,TRUE,FALSE,FALSE,FALSE,annual,FALSE
S-e1de58,A-ce550d,28-10-2024,,Enterprise,35,6965,83580,FALSE,TRUE,FALSE,FALSE,annual,TRUE
S-721fea,A-f6b2fb,23-05-2024,,Pro,23,1127,13524,FALSE,FALSE,TRUE,FALSE,monthly,TRUE
S-eaac58,A-ff3c73,08-04-2023,,Basic,66,1254,15048,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-1218fd,A-2d4502,02-11-2024,,Basic,14,266,3192,FALSE,TRUE,FALSE,FALSE,monthly,FALSE
S-936732,A-2f6a32,28-11-2024,06-12-2024,Pro,19,931,11172,FALSE,FALSE,FALSE,TRUE,annual,TRUE
S-c2f293,A-69b156,10-12-2024,30-12-2024,Basic,8,152,1824,FALSE,FALSE,FALSE,TRUE,monthly,FALSE
S-fe3b71,A-44dc83,24-09-2024,,Enterprise,37,0,0,TRUE,FALSE,FALSE,FALSE,monthly,TRUE
S-f5f5b3,A-89ee83,26-12-2024,29-12-2024,Basic,10,190,2280,FALSE,FALSE,FALSE,TRUE,annual,TRUE
S-4afb53,A-40de06,12-12-2023,29-12-2024,Enterprise,28,5572,66864,FALSE,FALSE,FALSE,TRUE,monthly,TRUE
S-851bbe,A-d77f4c,22-04-2024,,Enterprise,94,18706,224472,FALSE,TRUE,FALSE,FALSE,annual,TRUE
S-dab0d5,A-cc1d8d,14-12-2024,,Basic,5,0,0,TRUE,FALSE,FALSE,FALSE,monthly,TRUE
S-9aa190,A-9b9fe9,17-10-2024,,Basic,33,627,7524,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-f89d8c,A-88c6ca,18-12-2024,,Pro,49,2401,28812,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-766a62,A-1ac5e0,24-11-2024,,Enterprise,33,0,0,TRUE,FALSE,FALSE,FALSE,monthly,FALSE
S-10134d,A-52dd88,09-09-2024,,Enterprise,23,4577,54924,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-85de7a,A-940b8b,01-04-2024,,Enterprise,32,6368,76416,FALSE,FALSE,TRUE,FALSE,annual,TRUE
S-85796b,A-f19409,27-08-2024,31-10-2024,Enterprise,23,4577,54924,FALSE,FALSE,FALSE,TRUE,monthly,TRUE
S-c97464,A-f5641b,16-10-2024,,Pro,38,1862,22344,FALSE,FALSE,FALSE,FALSE,monthly,FALSE
S-6732ff,A-9affe6,22-11-2023,,Pro,24,1176,14112,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-aa20eb,A-6f8ad2,08-09-2024,,Pro,1,49,588,FALSE,FALSE,FALSE,FALSE,monthly,FALSE
