usage_id,subscription_id,usage_date,feature_name,usage_count,usage_duration_secs,error_count,is_beta_feature
U-a6a7c7,S-1bf267,02-06-2024,feature_40,9,2664,1,FALSE
U-3e5e83,S-a37653,15-03-2023,feature_35,14,4368,0,FALSE
U-708d27,S-ec690c,15-08-2023,feature_22,8,1464,2,TRUE
U-0abd90,S-de7a48,03-01-2024,feature_23,7,1778,0,FALSE
U-7d32fc,S-e7e4bd,03-12-2024,feature_37,8,2824,0,FALSE
U-b095d6,S-31428b,16-02-2023,feature_24,6,2412,0,TRUE
U-ba50ee,S-51924b,04-02-2023,feature_4,12,5064,0,FALSE
U-aac036,S-10fc7d,06-08-2024,feature_37,12,216,0,FALSE
U-9df047,S-eea643,12-02-2024,feature_37,12,5316,0,FALSE
U-029a51,S-8c118d,02-03-2023,feature_5,6,3384,1,FALSE
U-680b9d,S-e702a4,25-03-2024,feature_31,11,3014,0,FALSE
U-1314b8,S-ef2a21,13-12-2024,feature_16,6,2970,3,FALSE
U-46c99c,S-01bbff,01-10-2023,feature_9,14,3192,0,FALSE
U-e580fe,S-3673f2,06-08-2024,feature_19,9,2871,0,FALSE
U-50e5b9,S-c1f8e1,16-12-2024,feature_24,10,2350,1,FALSE
U-83a6c5,S-431c03,03-01-2023,feature_26,13,6591,0,FALSE
U-545d0c,S-58ab69,22-01-2024,feature_11,13,4511,0,FALSE
U-275562,S-3bdedd,09-01-2023,feature_14,7,1183,0,FALSE
U-b232f4,S-f3ff06,12-01-2023,feature_5,8,4080,0,FALSE
U-892c50,S-53361d,24-01-2024,feature_21,8,2128,3,FALSE
U-700b4b,S-44c5dd,05-02-2024,feature_12,6,1782,2,FALSE
U-385a00,S-b147b9,15-04-2024,feature_35,13,3445,2,FALSE
U-424739,S-8e5fd4,19-08-2024,feature_4,12,2352,3,FALSE
U-9ee469,S-69fb37,20-12-2024,feature_10,6,1374,0,FALSE
U-0b0bbc,S-d1b062,12-11-2023,feature_22,8,816,0,FALSE
U-b07117,S-e7b281,16-01-2023,feature_3,19,11210,0,FALSE
U-203929,S-463525,20-10-2024,feature_27,16,832,1,FALSE
U-9c486f,S-94b283,08-09-2023,feature_1,16,8928,0,TRUE
U-03f160,S-00bb84,28-02-2024,feature_33,9,2376,0,FALSE
U-c08e68,S-0c63de,15-01-2023,feature_10,10,1240,0,FALSE
U-a446ec,S-9dcef8,29-01-2024,feature_26,10,4590,0,TRUE
U-a83ad0,S-606d6d,20-05-2023,feature_40,15,165,1,FALSE
U-fd7a68,S-cd4d67,25-11-2024,feature_22,12,5664,0,TRUE
U-477ca5,S-3ea3af,30-07-2024,feature_36,11,6171,0,FALSE
U-88007d,S-7cf7c6,28-11-2023,feature_37,9,1755,0,FALSE
U-d12cc7,S-3eb206,25-06-2023,feature_38,11,4818,0,FALSE
U-d26026,S-a801d1,21-06-2023,feature_26,12,624,1,FALSE
U-f82b52,S-70d15d,04-09-2023,feature_27,10,1880,0,FALSE
U-e01529,S-2923fc,11-12-2024,feature_10,9,4257,0,FALSE
U-4abe39,S-04fd47,29-12-2023,feature_34,9,1764,0,FALSE
U-92a37d,S-f72b84,19-09-2023,feature_30,3,1437,0,TRUE
U-e5b4b3,S-c2f293,12-12-2024,feature_39,10,1340,0,FALSE
U-6043b0,S-24796e,31-03-2024,feature_8,12,1176,0,FALSE
U-9e1762,S-e301c9,15-06-2023,feature_15,14,7952,0,FALSE
U-14bb04,S-bf806d,05-07-2023,feature_13,8,3568,0,FALSE
U-291919,S-f366b3,12-04-2023,feature_39,8,1440,0,FALSE
U-f7842e,S-65071f,28-12-2023,feature_34,10,1320,2,FALSE
U-c5d688,S-9eeb7e,09-08-2024,feature_32,9,81,0,FALSE
U-7c5c2b,S-4e00a0,02-08-2024,feature_7,11,4939,0,FALSE
U-c2633c,S-dbd6b9,25-04-2023,feature_33,10,4520,0,FALSE
U-912828,S-4793bb,02-07-2024,feature_24,15,5175,0,FALSE
U-031f15,S-008f3c,17-07-2024,feature_6,6,1950,0,TRUE
U-1662fe,S-8b64df,19-04-2024,feature_31,12,2112,1,FALSE
U-3ddaf4,S-195f9b,26-01-2024,feature_36,13,6942,2,FALSE
U-ef63a1,S-0921a1,26-12-2024,feature_4,12,4224,0,FALSE
U-bc70f2,S-34b845,05-05-2024,feature_35,10,2260,2,FALSE
U-a92688,S-70af60,14-07-2024,feature_25,5,815,1,FALSE
U-28d115,S-38c5fd,18-08-2024,feature_31,9,1629,0,FALSE
U-9ec98a,S-8a6579,10-10-2023,feature_22,3,969,0,FALSE
U-e377bf,S-6587d8,04-11-2024,feature_7,8,4248,0,FALSE
U-b39242,S-969f4c,22-06-2023,feature_31,5,855,0,FALSE
U-f67d78,S-d0c344,25-02-2023,feature_12,9,5121,0,FALSE
U-6b41f7,S-e36ccb,21-09-2024,feature_19,8,4432,0,TRUE
U-5c5044,S-425607,02-10-2024,feature_15,13,1859,0,FALSE
U-62568a,S-22014f,02-03-2023,feature_17,15,1425,1,FALSE
U-d352f7,S-bc7cab,13-10-2023,feature_32,10,2900,0,FALSE
U-7eebdf,S-023f5f,15-05-2023,feature_34,11,1287,0,TRUE
U-b22092,S-d449e1,07-03-2024,feature_24,10,5960,0,FALSE
U-93c6a4,S-66bae1,28-12-2024,feature_13,13,195,2,FALSE
U-0947d6,S-bcbe03,04-10-2024,feature_1,7,945,0,FALSE
U-43761f,S-ff78bf,11-10-2024,feature_14,8,448,1,TRUE
U-b01e54,S-455183,13-12-2024,feature_10,9,2061,0,FALSE
U-3e8544,S-7d2c1b,14-05-2023,feature_29,11,5654,0,FALSE
U-6b0253,S-e78c09,11-05-2023,feature_7,12,3048,2,FALSE
U-b4d3c5,S-5d5699,18-07-2023,feature_3,7,966,0,FALSE
U-17b2c9,S-2881e0,06-04-2023,feature_27,11,3828,0,TRUE
U-691b21,S-0de78a,21-02-2024,feature_17,3,1230,0,TRUE
U-e8629b,S-1d63bf,03-01-2023,feature_4,11,3927,0,FALSE
U-d815de,S-6b1de8,25-08-2023,feature_29,15,7080,0,FALSE
U-167026,S-af5ec3,31-12-2023,feature_26,8,824,0,FALSE
U-65e223,S-6d4050,18-08-2023,feature_9,9,693,2,FALSE
U-ded235,S-faa8ec,29-10-2024,feature_11,5,480,0,FALSE
U-780828,S-8fbabd,30-11-2024,feature_5,4,1940,0,FALSE
U-fffbc1,S-51dd23,23-01-2024,feature_39,5,230,0,TRUE
U-37266b,S-b57a5e,19-08-2024,feature_34,19,4332,1,FALSE
U-e65d2a,S-bfc0f8,30-01-2023,feature_17,13,3354,1,FALSE
U-f633de,S-7d4d45,10-10-2023,feature_5,9,3609,4,FALSE
U-709d9a,S-e2f1fd,16-06-2023,feature_10,11,6446,0,FALSE
U-25ef2e,S-7b9b62,27-07-2023,feature_8,17,7378,1,FALSE
U-98cfbf,S-10fc7d,15-01-2023,feature_33,13,806,0,FALSE
U-8e343f,S-4d8633,20-02-2024,feature_36,5,1910,0,FALSE
U-55f576,S-0c47cb,07-02-2024,feature_30,10,460,3,FALSE
U-123e83,S-a5d1e3,28-08-2023,feature_26,11,1771,0,FALSE
U-1c4a11,S-7d0dea,07-08-2024,feature_33,9,3672,0,FALSE
U-f9497e,S-b91501,06-01-2024,feature_4,9,2835,0,FALSE
U-eb4a83,S-02d6c8,21-10-2023,feature_17,11,3432,0,FALSE
U-44acf2,S-695c1e,27-03-2024,feature_28,13,5265,1,FALSE
U-006569,S-b1d153,02-12-2024,feature_20,9,1782,0,FALSE
U-d91111,S-3ad221,04-08-2024,feature_27,15,5355,1,FALSE
U-15bbd9,S-2923fc,06-11-2023,feature_39,10,3900,0,FALSE
U-5a9e42,S-c77f0c,09-04-2024,feature_13,5,685,1,TRUE
U-0f19cd,S-b1c57d,30-01-2024,feature_9,7,3143,1,FALSE
U-c28b7f,S-2ba4ee,01-04-2023,feature_19,10,1550,0,FALSE
U-faa910,S-b01b1c,10-08-2023,feature_27,9,1305,1,TRUE
U-260255,S-f28cde,01-11-2024,feature_36,7,2331,0,FALSE
U-bb48d0,S-16b6dc,20-11-2024,feature_10,12,1296,0,FALSE
U-8c1553,S-a916c8,09-06-2024,feature_3,6,3306,0,FALSE
U-384ace,S-a4139f,31-08-2024,feature_40,8,840,1,FALSE
U-9e4889,S-12f05a,01-06-2023,feature_16,11,3553,0,FALSE
U-b24f60,S-7b29d1,04-11-2024,feature_39,11,6479,0,FALSE
U-dac1be,S-87ebe6,27-09-2023,feature_15,5,1050,0,FALSE
U-a204d5,S-debbee,13-12-2023,feature_16,11,1562,0,FALSE
U-183ef7,S-d6cffe,16-04-2024,feature_12,11,4169,1,FALSE
U-ac8aef,S-8a9db8,09-01-2024,feature_35,9,2214,4,FALSE
U-0178e0,S-e4ce2c,09-09-2023,feature_17,17,3604,0,FALSE
U-29fb62,S-6b7aa4,07-12-2024,feature_16,10,840,0,FALSE
U-9656e3,S-871e83,24-12-2024,feature_24,7,3822,0,FALSE
U-259e01,S-11d922,20-02-2024,feature_2,7,2709,4,TRUE
U-3ab851,S-aad754,14-01-2024,feature_30,15,6060,1,FALSE
U-04745a,S-f1778c,22-11-2024,feature_18,12,6192,3,FALSE
U-b3b4a4,S-4dae4f,09-04-2024,feature_26,6,1674,0,FALSE
U-78de54,S-8b345c,24-07-2023,feature_24,8,2000,0,FALSE
U-dfc2a7,S-90432a,15-01-2024,feature_37,9,4392,0,FALSE
U-83e410,S-704cf3,07-02-2024,feature_25,14,7266,0,FALSE
U-bc9c63,S-46526e,07-03-2023,feature_28,10,2180,0,FALSE
U-f48199,S-9e7060,10-05-2023,feature_6,8,1488,0,FALSE
U-b426f0,S-0144ac,20-10-2023,feature_24,5,135,0,FALSE
U-b484bd,S-6c4770,15-12-2024,feature_1,6,3546,2,FALSE
U-b4d7bc,S-802cc6,25-09-2024,feature_20,12,6300,1,FALSE
U-4a08b4,S-8ae507,16-12-2023,feature_12,9,3717,0,FALSE
U-62e148,S-5450af,27-05-2023,feature_21,7,2695,5,FALSE
U-a77713,S-97bc99,26-01-2024,feature_26,8,2512,0,FALSE
U-42ef12,S-97a57b,06-07-2023,feature_8,10,2500,0,FALSE
U-c67e37,S-2372d2,09-04-2024,feature_18,9,1296,3,FALSE
U-2e3df6,S-0638dc,12-01-2024,feature_38,13,1638,0,TRUE
U-48baed,S-0a8acf,05-07-2023,feature_25,7,910,1,FALSE
U-62c766,S-a5d949,23-02-2023,feature_17,7,3934,3,FALSE
U-f1b167,S-d71fe9,20-07-2023,feature_16,10,1660,1,FALSE
U-42a464,S-628842,30-04-2023,feature_20,19,6251,2,FALSE
U-a12b4a,S-84e146,07-08-2023,feature_4,9,4212,0,FALSE
U-4cf4cb,S-bbc0f7,27-02-2024,feature_15,13,6149,0,FALSE
U-616f37,S-8f181e,17-04-2023,feature_2,11,385,1,FALSE
U-99b91c,S-a2cd6a,23-10-2024,feature_8,8,4096,0,FALSE
U-c0295f,S-59778a,31-12-2023,feature_11,7,1050,0,TRUE
U-e19b2e,S-be601b,23-03-2023,feature_24,9,5103,0,FALSE
U-48f986,S-62fa42,05-04-2023,feature_36,7,2044,0,FALSE
U-690821,S-5ddf8d,10-06-2023,feature_14,11,4136,0,FALSE
U-6f9192,S-16a545,30-06-2023,feature_28,3,1566,1,FALSE
U-d2b4ef,S-9b8167,23-09-2023,feature_18,10,5150,0,FALSE
U-8d5b32,S-61a87e,26-04-2023,feature_32,8,1624,0,FALSE
U-068eef,S-834097,25-10-2024,feature_2,12,6552,0,FALSE
U-897937,S-7ba2ad,16-12-2023,feature_10,9,2088,2,FALSE
U-66ad5c,S-e9257d,18-04-2024,feature_29,10,1400,0,FALSE
U-faa335,S-2ebd06,16-03-2024,feature_26,8,2688,0,FALSE
U-931029,S-1bbf0a,12-07-2023,feature_13,8,3872,0,TRUE
U-2722af,S-b3bd43,25-04-2023,feature_18,8,544,4,FALSE
U-342dd1,S-fc1114,06-10-2024,feature_23,10,1610,0,FALSE
U-b7c6c8,S-ee30bb,03-07-2024,feature_5,9,270,0,FALSE
U-049032,S-c26c22,30-11-2023,feature_34,11,561,0,FALSE
U-5686b9,S-f97609,26-01-2023,feature_10,13,6500,3,FALSE
U-add9aa,S-f2d47e,12-05-2023,feature_5,11,3531,0,FALSE
U-36c7a4,S-c6d8ce,24-11-2023,feature_30,5,1020,0,FALSE
U-ed15a8,S-9a8d01,11-03-2024,feature_2,12,3756,0,FALSE
U-88b809,S-d07886,10-08-2024,feature_8,5,1135,0,FALSE
U-0490cc,S-39b5ce,25-06-2024,feature_6,10,5110,0,TRUE
U-6267bd,S-10702d,05-02-2023,feature_13,12,1548,3,FALSE
U-7bffd5,S-cd8a6a,23-01-2024,feature_40,9,3231,0,TRUE
U-4445f3,S-aa7247,27-12-2024,feature_10,12,6420,3,FALSE
U-6de5a2,S-de6767,30-06-2023,feature_2,19,3705,0,TRUE
U-0a141e,S-bd2ab2,08-10-2024,feature_32,20,5140,0,FALSE
U-87ca79,S-b8fcc5,11-05-2023,feature_24,13,4745,0,FALSE
U-72b902,S-022a1e,29-08-2023,feature_10,11,1958,0,FALSE
U-52da99,S-9be237,17-10-2024,feature_29,8,1896,0,FALSE
U-36a7e4,S-503afa,18-06-2024,feature_39,7,1281,0,FALSE
U-a76823,S-79a9e1,22-10-2023,feature_24,6,2940,0,FALSE
U-1e39f8,S-a9fb74,29-12-2023,feature_15,10,1370,2,FALSE
U-ab4efe,S-fb95f2,09-03-2024,feature_28,8,752,1,FALSE
U-e3feff,S-510999,25-12-2023,feature_3,6,2910,0,FALSE
U-83174b,S-ed2bb5,04-04-2023,feature_4,8,4552,0,FALSE
U-b7dda3,S-3aa11b,16-02-2023,feature_33,6,1176,0,FALSE
U-71aedb,S-6ce794,13-09-2024,feature_32,11,1408,0,TRUE
U-10b0be,S-02984e,12-06-2023,feature_13,11,4345,0,FALSE
U-4bdf83,S-2dad6b,12-04-2023,feature_1,10,5080,2,FALSE
U-84496f,S-ca136e,09-06-2023,feature_26,12,1284,2,FALSE
U-2b76fa,S-08a5fd,22-10-2024,feature_36,12,2784,0,FALSE
U-8f850b,S-6f43f7,25-11-2024,feature_36,11,2112,0,FALSE
U-5d4e12,S-36ad61,19-05-2024,feature_28,12,3276,0,FALSE
U-dbe096,S-a2cd6a,22-09-2023,feature_26,9,4446,2,FALSE
U-75e7bd,S-4d2011,29-11-2023,feature_29,11,3003,1,FALSE
U-f2eb07,S-2d62ad,29-05-2023,feature_14,10,2260,0,FALSE
U-ed3e27,S-69cc68,26-05-2023,feature_11,9,4725,0,FALSE
U-755e42,S-c7f564,11-10-2024,feature_7,10,3040,0,FALSE
U-1533e3,S-cc4bf0,07-06-2023,feature_23,7,4046,1,TRUE
U-a0c7fb,S-004eb4,07-06-2023,feature_12,8,1496,1,FALSE
U-c1baa6,S-9c06f8,19-02-2024,feature_4,9,3519,0,TRUE
U-9f3718,S-567afa,24-09-2024,feature_22,11,2431,3,FALSE
U-b10afb,S-a2ee32,02-11-2024,feature_4,12,4836,0,FALSE
U-a1cddd,S-7e2e5c,12-10-2024,feature_31,13,3315,2,FALSE
U-9f3c2a,S-39e88c,25-10-2024,feature_8,16,8784,0,FALSE
U-35c6b9,S-3e54f5,06-10-2023,feature_26,9,4572,0,FALSE
U-7db4a5,S-ee4c5c,18-04-2023,feature_16,5,55,0,TRUE
U-5d6a94,S-86e45a,16-11-2024,feature_21,11,2629,5,FALSE
U-84c980,S-14a685,09-11-2023,feature_8,11,6380,1,FALSE
U-ff8c99,S-164594,02-06-2023,feature_1,14,1092,0,FALSE
U-62df4c,S-0e057d,30-01-2024,feature_12,14,5810,0,FALSE
U-d00bfb,S-863c87,04-06-2024,feature_19,9,3717,0,FALSE
U-fb4e9a,S-3cae3d,07-08-2024,feature_31,9,3411,2,FALSE
U-8986cb,S-4c9107,06-03-2023,feature_21,12,3456,0,FALSE
U-6d805b,S-51cb35,16-02-2023,feature_24,5,1655,0,FALSE
U-79899d,S-afed2d,05-08-2024,feature_5,11,2013,0,FALSE
U-a2b48e,S-175429,13-01-2024,feature_6,14,6202,0,FALSE
U-c3fd6c,S-79123c,15-03-2023,feature_5,19,11096,1,FALSE
U-0ecee2,S-106283,04-12-2023,feature_28,9,2547,1,FALSE
U-90ec66,S-c7f564,06-08-2024,feature_6,8,4760,2,FALSE
U-14fdac,S-c22c29,29-08-2024,feature_14,6,1998,0,FALSE
U-163a57,S-2ded06,14-07-2024,feature_32,10,3710,0,FALSE
U-83c8dd,S-404ecd,03-03-2023,feature_31,9,45,0,TRUE
U-c09fa9,S-8fcce1,19-01-2023,feature_17,7,1239,0,FALSE
U-f870f2,S-497428,12-06-2023,feature_1,7,539,0,FALSE
U-9959d2,S-c7e38a,09-04-2023,feature_9,8,768,0,FALSE
U-7cccec,S-21f8b3,11-11-2023,feature_5,2,422,0,FALSE
U-e7e6cf,S-b3f236,07-09-2023,feature_28,11,4598,0,FALSE
U-2782df,S-a87ff6,28-06-2024,feature_37,7,3283,0,FALSE
U-0be9f7,S-9ce22d,07-02-2023,feature_37,14,7560,2,FALSE
U-0b97fe,S-a2fb62,09-08-2023,feature_5,8,1384,1,FALSE
U-abbb90,S-01fa46,17-05-2024,feature_31,10,2410,2,FALSE
U-daefd3,S-39bb68,08-09-2024,feature_12,8,1120,0,FALSE
U-eebe0e,S-0c9fdd,29-10-2024,feature_25,16,528,0,FALSE
U-658266,S-5281ee,14-12-2023,feature_37,7,3836,0,FALSE
U-ec16ce,S-f76252,28-09-2024,feature_31,6,3372,2,FALSE
U-716ed9,S-6bd42d,27-12-2023,feature_16,10,2170,1,FALSE
U-7d5257,S-929a7c,16-12-2024,feature_20,6,1272,0,FALSE
U-aa639b,S-ca0eb1,09-09-2024,feature_6,6,2376,0,FALSE
U-669106,S-7b2efe,13-11-2023,feature_13,14,504,1,FALSE
U-6a440d,S-a408fe,19-11-2024,feature_38,11,3817,0,FALSE
U-73f882,S-85022b,27-08-2023,feature_8,12,1836,0,FALSE
U-de0e81,S-2d4edf,12-06-2023,feature_8,8,600,0,FALSE
U-139a49,S-9bf1a0,25-01-2023,feature_23,8,4016,0,FALSE
U-5b948f,S-4695b8,06-10-2023,feature_19,12,6972,3,FALSE
U-721e8c,S-f409d8,18-10-2023,feature_31,5,60,0,FALSE
U-d5d63e,S-2ccc04,02-01-2023,feature_9,9,3915,1,FALSE
U-ac9343,S-d8165b,20-04-2024,feature_26,7,2226,1,FALSE
U-bae3d5,S-a18bb2,11-07-2024,feature_28,14,7182,1,FALSE
U-1d5daf,S-5901a1,01-11-2023,feature_37,9,4167,0,FALSE
U-21c6ad,S-9d727d,05-04-2024,feature_20,10,960,0,FALSE
U-8a9ccc,S-92afb8,26-07-2023,feature_25,11,3960,1,FALSE
U-a0254f,S-a50803,08-12-2024,feature_3,12,3216,2,FALSE
U-a533f2,S-e90e70,03-02-2023,feature_2,7,2947,0,FALSE
U-7f928f,S-151fce,28-12-2023,feature_21,13,2990,1,FALSE
U-dd1ee2,S-cfedb3,23-07-2023,feature_3,13,5200,1,FALSE
U-8b15aa,S-02a3aa,01-08-2024,feature_28,11,2145,0,FALSE
U-13530c,S-d638c7,27-03-2024,feature_6,11,1287,0,FALSE
U-d4d5be,S-32e8fa,27-10-2024,feature_23,10,1450,0,FALSE
U-dfb84b,S-c41b43,13-12-2024,feature_25,8,1864,0,FALSE
U-15e557,S-c696fa,30-07-2023,feature_4,11,4224,0,FALSE
U-85c1ce,S-35752e,22-04-2024,feature_1,13,2444,0,FALSE
U-3fb874,S-511e50,25-12-2023,feature_8,5,850,0,FALSE
U-2c0517,S-0802a4,14-06-2023,feature_30,7,2996,0,FALSE
U-c6137a,S-d85c2f,12-03-2024,feature_20,16,3920,1,FALSE
U-8a0d40,S-33eb1d,18-11-2023,feature_40,11,3311,0,FALSE
U-8ab7ab,S-31d8aa,27-09-2024,feature_36,9,5292,0,FALSE
U-9e957e,S-858aa0,18-09-2024,feature_26,7,2534,3,FALSE
U-2091c5,S-d6cffe,28-02-2024,feature_28,14,3612,0,FALSE
U-b081e3,S-51dd23,05-12-2023,feature_17,11,3344,1,FALSE
U-a16319,S-d1b062,11-11-2023,feature_17,6,474,2,FALSE
U-746dd6,S-adf00a,18-09-2024,feature_8,12,4920,2,FALSE
U-f00feb,S-a3455c,09-09-2024,feature_38,9,2295,2,FALSE
U-dba328,S-f783b6,06-09-2023,feature_17,10,2870,1,FALSE
U-c72a1a,S-66a834,06-04-2024,feature_19,12,2832,0,FALSE
U-893332,S-fb0905,04-10-2023,feature_27,12,3300,0,FALSE
U-ed1d69,S-9b2c95,22-06-2024,feature_36,8,1440,0,FALSE
U-f788e6,S-92e8cb,18-08-2023,feature_4,7,2387,2,FALSE
U-735684,S-0896f4,06-03-2024,feature_9,8,3944,0,FALSE
U-39d415,S-9dbe8c,12-08-2024,feature_35,9,4851,0,FALSE
U-bf0205,S-b45a10,04-10-2023,feature_7,9,2340,0,FALSE
U-ed175a,S-aa5f00,17-04-2023,feature_1,16,9424,0,FALSE
U-c6d2b4,S-3c9a70,13-05-2023,feature_4,11,2002,1,FALSE
U-baf889,S-f1aa04,05-05-2024,feature_3,6,2970,2,FALSE
U-2d3590,S-25ec8c,05-11-2023,feature_34,8,2888,0,FALSE
U-67cb5b,S-08f8d3,21-10-2023,feature_27,8,3072,0,FALSE
U-f082ec,S-37b367,28-04-2024,feature_38,10,1400,0,FALSE
U-be625d,S-da8d5f,08-02-2023,feature_16,8,120,0,FALSE
U-53acc0,S-07abdd,06-11-2023,feature_18,5,2925,0,TRUE
U-da91cc,S-1f4c01,08-11-2023,feature_25,11,770,0,FALSE
U-f86b7c,S-e002a1,17-09-2024,feature_15,8,4680,3,FALSE
U-13c9a6,S-4d9635,29-01-2023,feature_10,8,2952,0,FALSE
U-92dfae,S-82eb3e,20-05-2023,feature_8,11,2343,0,FALSE
U-eee6be,S-620b62,08-12-2023,feature_26,9,3321,0,FALSE
U-81dc8e,S-4c8e19,24-12-2024,feature_39,7,2842,0,FALSE
U-648980,S-de473d,05-12-2023,feature_38,11,3850,1,FALSE
U-6f9fc9,S-ea9f08,03-01-2023,feature_36,9,4005,2,FALSE
U-71c2d1,S-9714fa,10-08-2024,feature_40,7,1596,0,FALSE
U-7f8280,S-f74ac6,25-09-2023,feature_24,13,7410,0,FALSE
U-36c307,S-89e98a,13-07-2023,feature_17,7,2380,2,TRUE
U-94bb68,S-a09e70,02-02-2024,feature_15,13,1183,0,FALSE
U-a1fb43,S-1a9fb7,17-08-2023,feature_35,10,5680,0,FALSE
U-462fde,S-e98121,19-02-2023,feature_14,11,3388,0,FALSE
U-69fedc,S-627697,15-07-2023,feature_27,13,2158,0,FALSE
U-71cb0c,S-4a8fda,04-02-2023,feature_16,6,1224,1,FALSE
U-22edbf,S-875645,13-04-2024,feature_19,5,960,0,FALSE
U-c89f69,S-f93185,21-02-2024,feature_14,5,575,2,FALSE
U-0d1327,S-9c4bcd,05-11-2023,feature_15,15,6990,2,TRUE
U-e3bccf,S-1c06f3,01-03-2024,feature_33,9,3690,1,FALSE
U-874edd,S-27e9ad,29-01-2023,feature_3,12,6840,0,FALSE
U-b73d27,S-19edee,28-12-2024,feature_10,9,5283,0,FALSE
U-f50dcc,S-27ab7f,26-01-2024,feature_38,15,840,0,FALSE
U-cd7803,S-573f93,31-10-2024,feature_6,8,4024,3,FALSE
U-4784a2,S-3909f9,20-10-2023,feature_5,7,3367,3,TRUE
U-226ffe,S-eccbe0,12-07-2023,feature_3,8,2512,0,FALSE
U-3d35fa,S-01daf5,23-11-2023,feature_4,8,1304,0,FALSE
U-69e435,S-d232ad,03-07-2024,feature_24,7,371,1,FALSE
U-432eac,S-9dda85,15-06-2023,feature_36,8,2336,0,FALSE
U-64db53,S-1eba7d,05-02-2024,feature_22,7,1330,0,FALSE
U-6a7350,S-8d4b81,11-12-2023,feature_11,14,2912,0,TRUE
U-cb6db1,S-9af385,17-05-2023,feature_34,9,1449,2,FALSE
U-5ee499,S-7dab19,10-01-2023,feature_9,7,147,1,FALSE
U-f4e558,S-cdc347,05-12-2023,feature_26,12,7104,0,FALSE
U-146e07,S-15a058,09-08-2023,feature_14,10,150,1,FALSE
