churn_event_id,account_id,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text
A-ab438f,A-bece89,2024-07-27,unknown,53.61,f,f,f,switched to competitor
A-e89151,A-832ec2,2023-12-19,unknown,0,f,f,f,too expensive
A-e693b6,A-22d9d2,2024-10-17,pricing,0,f,f,f,
A-7c4956,A-32728c,2024-06-22,support,0,f,f,f,
A-3ce5b8,A-1b9609,2024-11-16,unknown,0,f,f,f,
A-0baac2,A-310452,2024-12-25,budget,0,t,f,f,
A-b07346,A-016043,2024-08-11,competitor,84.75,f,f,f,switched to competitor
A-902ef7,A-80eeb6,2023-10-19,features,0,f,f,f,missing features
A-e4bf56,A-7e0a10,2024-09-26,budget,0,f,f,f,missing features
A-cea1f0,A-6a7c9d,2024-11-21,support,0,f,f,f,too expensive
A-4e960a,A-098560,2024-09-04,pricing,0,f,f,f,too expensive
A-443b7c,A-9f9299,2024-03-24,features,0,f,f,f,missing features
A-bcf87c,A-ef84cf,2024-11-20,support,0,f,f,f,too expensive
A-fce879,A-13466a,2024-04-18,pricing,6.51,f,t,t,switched to competitor
A-b07b56,A-65aeb5,2024-02-27,pricing,0,f,f,f,
A-7f6b86,A-659280,2024-11-22,pricing,27.75,f,f,f,switched to competitor
A-8adedc,A-d49cc5,2024-04-12,competitor,0,f,f,f,missing features
A-89ee83,A-cc8c8f,2024-09-12,budget,0,t,f,f,missing features
A-6a7c9d,A-31ab9a,2024-09-23,competitor,0,f,f,t,too expensive
A-cbd1a3,A-e08cd3,2024-09-21,competitor,0,f,f,f,switched to competitor
A-600734,A-0651a4,2024-12-25,support,0,f,f,f,too expensive
A-712f1c,A-b2225d,2024-06-27,budget,0,f,f,t,
A-4814a3,A-c222ab,2024-06-14,budget,4.52,f,f,f,too expensive
A-b7b7b7,A-a6d261,2024-03-10,unknown,99.94,t,f,f,missing features
A-ccc747,A-425e76,2023-09-03,budget,0,f,f,t,missing features
A-b30291,A-df1e44,2024-11-20,budget,0,f,f,f,missing features
A-098560,A-7f29a7,2024-10-09,unknown,23.97,t,f,f,switched to competitor
A-d82ef9,A-b07b56,2024-12-24,budget,0,f,f,f,switched to competitor
A-1f559b,A-d792a6,2024-08-13,support,0,f,f,f,missing features
A-ffdfd5,A-7cfe77,2024-12-19,features,0,f,t,f,missing features
A-0dbdc6,A-69fad4,2024-06-17,support,0,f,f,f,
A-40de06,A-4bfa33,2024-12-28,unknown,7.26,t,f,f,switched to competitor
A-72799b,A-cc1d8d,2024-12-17,features,0,f,f,f,too expensive
A-812c5b,A-7f4db3,2023-03-21,support,0,t,f,f,missing features
A-69b156,A-692f18,2024-12-23,support,0,t,f,f,switched to competitor
A-2d1036,A-7a0d69,2024-07-09,features,28.95,f,f,f,
A-0f6450,A-fda07f,2024-09-13,support,17.34,f,f,f,missing features
A-1e50e0,A-4e44e8,2024-10-11,budget,0,f,f,t,switched to competitor
A-659280,A-cd458b,2024-11-07,budget,0,f,f,f,switched to competitor
A-d535f6,A-56962b,2024-07-27,unknown,45.83,f,f,f,switched to competitor
A-1d5444,A-2bc93d,2023-08-10,pricing,0,f,f,f,missing features
A-0f3e88,A-104f1a,2024-09-06,support,0,f,f,f,too expensive
A-7641d3,A-2e3bad,2024-03-30,features,0,f,f,f,missing features
A-34ea2f,A-2edab2,2023-12-21,unknown,168.73,f,f,f,switched to competitor
A-b11cd0,A-3be56b,2024-06-20,pricing,0,f,f,f,switched to competitor
A-4c56c9,A-6e08f3,2024-02-10,competitor,0,f,f,t,
A-798a3f,A-712533,2024-07-18,unknown,0,t,f,f,missing features
A-6f50ae,A-df10db,2024-07-12,competitor,0,f,f,f,missing features
A-9c18c4,A-acb7f7,2024-03-21,competitor,0,t,f,f,missing features
A-e1b9cd,A-533452,2024-11-19,features,0,f,f,f,
A-0e966d,A-993085,2024-01-21,features,0,f,f,f,
A-d26ab4,A-bb1486,2024-11-21,budget,0,f,f,f,switched to competitor
