ticket_id,account_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag
T-6684a4,A-cc8c8f,2023-11-19,2023-11-19,40,urgent,103,3,f
T-27e2a5,A-9f9299,2024-09-11,2024-09-13,43,low,42,,f
T-495585,A-acb7f7,2024-01-27,2024-01-27,35,medium,31,3,f
T-d6c9b1,A-a6d261,2024-02-09,2024-02-09,4,high,32,5,f
T-5df8d7,A-a6d261,2024-12-05,2024-12-07,33,medium,3,4,f
T-0f7d84,A-a6d261,2024-10-27,2024-10-29,-14,medium,81,,f
T-65b231,A-a6d261,2023-09-11,2023-09-13,11,low,137,5,t
T-967ccc,A-acb7f7,2023-12-28,2023-12-30,37,urgent,144,4,f
T-bdbc42,A-31ab9a,2024-09-09,2024-09-11,-9,urgent,90,4,f
T-9d8a29,A-c222ab,2024-07-16,2024-07-17,58,urgent,131,,f
T-a45f3e,A-d792a6,2024-02-11,2024-02-12,26,urgent,174,4,f
T-4cf1f9,A-d792a6,2024-12-29,2024-12-29,59,urgent,125,,f
T-7a5dca,A-d792a6,2023-11-02,2023-11-04,45,high,28,,f
T-a2a84a,A-d792a6,2023-03-30,2023-03-31,51,medium,36,4,f
T-89db4e,A-31ab9a,2023-08-31,2023-09-02,1,medium,132,,f
T-5b0a56,A-78f02b,2024-07-24,2024-07-26,0,medium,42,,f
T-97f5bb,A-31ab9a,2024-12-25,2024-12-25,-19,medium,6,3,f
T-0f97f5,A-7f4db3,2023-05-12,2023-05-12,8,low,153,3,f
T-bf0575,A-78f02b,2023-04-10,2023-04-12,-29,high,125,5,f
T-74e1b9,A-0dbdc6,2023-09-06,2023-09-06,14,low,138,,f
T-8a14a4,A-ac85cd,2023-11-19,2023-11-21,1,medium,128,3,f
T-7b13df,A-ac85cd,2024-08-01,2024-08-01,1,low,35,,f
T-79b057,A-31ab9a,2023-01-22,2023-01-23,1,low,66,4,f
T-862ab3,A-31ab9a,2024-06-16,2024-06-18,-24,medium,85,3,f
T-b9e7df,A-526d93,2023-05-10,2023-05-10,1,medium,158,,f
T-e3d7af,A-526d93,2024-11-13,2024-11-15,1,low,157,,f
T-f660fd,A-526d93,2024-02-21,2024-02-23,1,urgent,161,,f
T-2422ea,A-526d93,2024-04-14,2024-04-16,1,high,49,4,f
T-e58f06,A-7f4db3,2024-06-08,2024-06-09,1,high,155,3,t
T-fbe6c4,A-526d93,2023-10-26,2023-10-29,1,high,148,3,t
T-9bb4f6,A-7f4db3,2024-05-20,2024-05-20,-24,medium,14,4,f
T-ce1dee,A-d792a6,2024-10-10,2024-10-11,31,low,126,,f
T-0bc38a,A-c70870,2023-07-08,2023-07-08,-24,low,159,5,f
T-abeb65,A-c70870,2024-07-07,2024-07-09,40,low,10,,f
T-87bb00,A-c70870,2024-08-18,2024-08-19,19,medium,62,3,f
T-7431ee,A-c70870,2023-06-05,2023-06-07,27,high,171,,f
T-041287,A-34ea2f,2024-07-15,2024-07-17,78,urgent,19,4,f
T-0c9c88,A-0baac2,2024-07-10,2024-07-12,67,high,89,5,f
T-820846,A-180abf,2024-07-30,2024-07-30,71,medium,44,,f
T-6b1bf1,A-180abf,2024-01-20,2024-01-21,45,medium,5,3,f
T-7b7a5a,A-1e50e0,2024-10-02,2024-10-02,62,high,170,5,t
T-7a95e0,A-0baac2,2023-12-16,2023-12-16,33,low,54,,f
T-113483,A-1e50e0,2024-10-29,2024-10-29,98,urgent,116,,f
T-c248c0,A-0baac2,2024-06-05,2024-06-07,35,high,54,3,f
T-30ab22,A-65aeb5,2023-09-01,2023-09-03,74,high,146,5,f
T-194946,A-65aeb5,2023-08-10,2023-08-11,78,low,173,,f
T-30b4eb,A-104f1a,2024-12-30,2024-12-30,31,medium,37,,f
T-7772d1,A-104f1a,2024-03-26,2024-03-28,6,low,40,4,f
T-57fa50,A-104f1a,2023-05-25,2023-05-27,31,high,118,5,f
T-17884a,A-104f1a,2023-08-07,2023-08-08,6,medium,38,3,f
T-964182,A-104f1a,2024-04-08,2024-04-08,6,medium,19,3,t
T-ebb149,A-0baac2,2024-09-14,2024-09-15,6,high,154,5,f
T-66636b,A-37f969,2023-07-25,2023-07-27,6,medium,116,4,f
T-29abed,A-cd458b,2024-03-28,2024-03-30,29,urgent,39,5,f
T-a51205,A-cd458b,2023-07-04,2023-07-05,42,urgent,76,3,f
T-bb236d,A-cd458b,2024-06-25,2024-06-26,26,urgent,61,5,f
T-6bdc37,A-80eeb6,2023-07-23,2023-07-24,17,high,89,5,f
T-12a7d7,A-80eeb6,2023-08-02,2023-08-02,53,low,59,3,f
T-2066b3,A-80eeb6,2023-05-19,2023-05-21,80,urgent,87,3,t
T-895101,A-37f969,2024-04-12,2024-04-12,7,urgent,19,,f
T-00183b,A-37f969,2023-09-06,2023-09-06,17,medium,5,4,f
T-629f53,A-37f969,2023-12-29,2023-12-29,6,low,176,,t
T-399f72,A-37f969,2023-12-15,2023-12-15,31,high,154,3,f
T-9b7b66,A-13466a,2023-06-24,2023-06-24,108,high,77,5,f
T-fb6fa3,A-0a62f5,2024-11-26,2024-11-26,58,urgent,57,,f
T-b29471,A-44dc83,2023-06-11,2023-06-12,91,high,53,4,f
T-e938bb,A-832ec2,2024-07-24,2024-07-26,53,medium,171,4,f
T-a80500,A-fce879,2023-01-16,2023-01-17,113,medium,74,3,f
T-9876fb,A-2e3bad,2024-01-18,2024-01-18,97,high,92,,f
T-c28542,A-d49cc5,2024-07-18,2024-07-20,84,medium,32,4,f
T-6a7af3,A-d49cc5,2024-05-15,2024-05-15,82,urgent,134,5,f
T-76ee80,A-fce879,2024-07-17,2024-07-18,100,urgent,49,5,f
T-0fc8f9,A-fda07f,2023-11-28,2023-11-29,109,medium,110,3,f
T-b43464,A-08e34e,2024-07-15,2024-07-17,36,high,67,3,f
T-ae23c2,A-7e0a10,2023-03-09,2023-03-10,0,urgent,127,5,f
T-9bf64e,A-3ce5b8,2023-10-07,2023-10-08,31,high,87,,f
T-471c3e,A-3ce5b8,2024-08-15,2024-08-16,19,high,89,4,f
T-926ee8,A-5a92e7,2023-06-17,2023-06-19,60,high,9,5,f
T-990f20,A-6a7c9d,2024-08-15,2024-08-16,37,medium,42,3,f
T-b1d1d0,A-bcf664,2023-08-13,2023-08-14,35,urgent,128,3,f
T-1cea26,A-bcf664,2023-12-18,2023-12-20,69,high,169,5,t
T-74be0c,A-bcf664,2024-11-16,2024-11-16,44,high,4,4,f
T-42f9b6,A-bcf664,2023-05-12,2023-05-12,36,urgent,172,,f
T-fa3300,A-bcf664,2024-07-03,2024-07-06,18,low,80,,f
T-135f77,A-cd458b,2024-12-02,2024-12-04,11,medium,146,5,f
T-e9e7a7,A-3be56b,2023-06-17,2023-06-17,93,low,107,3,f
T-673852,A-4e44e8,2024-09-15,2024-09-15,1,low,10,3,f
T-51307e,A-b78bf8,2023-09-15,2023-09-16,88,low,93,5,f
T-1e3043,A-b78bf8,2024-02-19,2024-02-19,68,urgent,89,5,f
T-bc6799,A-9f9299,2023-04-12,2023-04-14,94,medium,146,,f
T-ceb781,A-712533,2023-07-17,2023-07-17,-6,low,108,3,f
T-300e16,A-22d9d2,2024-10-15,2024-10-15,64,urgent,131,3,t
T-776916,A-0a282f,2023-06-12,2023-06-14,41,medium,12,5,f
T-14ab7d,A-bece89,2023-02-20,2023-02-21,84,medium,63,5,f
T-051e5b,A-e08cd3,2023-09-20,2023-09-20,52,urgent,59,5,f
T-187648,A-592832,2024-10-27,2024-10-28,52,medium,51,,f
T-a7489c,A-7e0a10,2024-01-24,2024-01-26,26,high,72,,f
T-33d113,A-7e0a10,2024-08-11,2024-08-12,36,high,30,,f
T-ad6a24,A-7e0a10,2024-12-18,2024-12-19,-3,urgent,43,,f
T-7df5b2,A-b78bf8,2024-12-01,2024-12-01,74,medium,161,5,f
T-c9a73c,A-b9f5b1,2024-10-24,2024-10-24,11,urgent,86,4,f
T-f0d824,A-b9f5b1,2023-12-01,2023-12-02,60,urgent,165,3,f
T-2c34c5,A-034368,2023-08-29,2023-08-31,35,low,34,5,f
T-6858fa,A-034368,2024-05-04,2024-05-05,13,medium,51,,f
T-a7ce4a,A-034368,2023-07-01,2023-07-01,62,high,124,,f
T-317894,A-0651a4,2024-04-20,2024-04-20,88,high,135,3,f
T-56fa73,A-2e3bad,2023-05-03,2023-05-05,98,low,49,4,f
T-fcedc6,A-5a184f,2024-04-13,2024-04-14,65,high,33,4,f
T-42efc2,A-2e3bad,2024-01-08,2024-01-08,22,high,159,,f
T-cd31c2,A-0651a4,2023-07-21,2023-07-22,84,high,9,,f
T-bd38ae,A-5a184f,2023-09-25,2023-09-25,30,medium,38,4,f
T-5c2e35,A-034368,2023-01-11,2023-01-12,63,urgent,123,,f
T-563a64,A-b9f5b1,2023-08-20,2023-08-21,35,medium,15,3,f
T-9703b6,A-7df7a7,2023-07-04,2023-07-04,84,urgent,142,4,f
T-f10d70,A-fda07f,2024-09-01,2024-09-01,88,high,3,4,f
T-de489a,A-692f18,2024-07-28,2024-07-30,112,high,96,5,f
T-4ecb7b,A-acb7f7,2023-08-19,2023-08-21,18,low,98,,f
T-c786ff,A-c222ab,2024-12-26,2024-12-27,28,urgent,152,,f
T-134bb9,A-2bc93d,2024-11-23,2024-11-23,102,medium,44,5,f
T-ef9608,A-2bc93d,2023-05-28,2023-05-28,48,urgent,112,4,f
T-134994,A-0a62f5,2023-11-05,2023-11-07,35,high,153,,f
T-7e129c,A-df10db,2023-12-04,2023-12-06,88,medium,46,3,t
T-c98c9f,A-832ec2,2024-02-28,2024-02-28,50,medium,68,,f
T-9fcefd,A-659280,2023-04-17,2023-04-17,65,low,91,4,f
T-956203,A-ccb686,2023-11-06,2023-11-08,92,high,30,4,f
T-21da91,A-b9f5b1,2024-08-09,2024-08-10,43,low,121,3,f
T-c01944,A-c37cab,2024-03-28,2024-03-29,41,medium,146,3,f
T-276a05,A-c37cab,2023-10-17,2023-10-19,30,high,144,3,t
T-0b025f,A-c37cab,2024-02-15,2024-02-16,77,high,87,5,f
T-5e7096,A-44dc83,2023-10-18,2023-10-19,43,low,35,,f
T-a89311,A-44dc83,2023-11-07,2023-11-09,112,urgent,93,4,f
T-e4d183,A-44dc83,2024-09-15,2024-09-16,82,low,6,5,f
T-6b1dfe,A-832ec2,2024-04-14,2024-04-14,87,high,87,4,t
T-c895a0,A-5a92e7,2024-10-10,2024-10-10,71,medium,3,3,f
T-30fb5e,A-34ea2f,2023-12-20,2023-12-20,83,low,158,3,f
T-b78a44,A-9208f0,2023-09-27,2023-09-28,-6,medium,103,4,f
T-0a9b1f,A-9208f0,2023-01-27,2023-01-27,-15,medium,166,,t
T-9f4e20,A-7a0d69,2024-07-04,2024-07-05,30,urgent,83,,f
T-b88fe0,A-34ea2f,2023-11-08,2023-11-08,55,medium,42,,f
T-963409,A-5a92e7,2023-04-01,2023-04-01,12,urgent,127,4,f
T-01e321,A-3ce5b8,2024-06-01,2024-06-02,56,medium,80,4,f
T-e67195,A-3ce5b8,2024-10-25,2024-10-27,1,low,156,3,f
T-4f2be5,A-3ce5b8,2023-04-07,2023-04-08,42,medium,137,5,f
T-1e968e,A-484819,2023-12-10,2023-12-10,24,urgent,127,,f
T-a0545c,A-484819,2024-04-26,2024-04-26,30,medium,152,,f
T-fb798a,A-8bde0c,2024-11-07,2024-11-07,11,medium,64,,f
T-9ff2ab,A-32fb14,2024-05-27,2024-05-27,48,urgent,10,,f
T-05fd42,A-f45426,2024-08-24,2024-08-25,105,urgent,38,4,f
T-3a75b1,A-3be56b,2024-02-13,2024-02-15,97,low,61,4,f
T-334013,A-3be56b,2023-07-17,2023-07-19,34,medium,96,4,f
T-7c0dc3,A-b20d99,2023-08-08,2023-08-10,52,medium,32,4,f
T-7fd978,A-22d9d2,2023-12-26,2023-12-26,71,urgent,8,,f
T-9f48ae,A-22d9d2,2024-01-22,2024-01-22,56,medium,87,5,f
T-ca352f,A-22d9d2,2024-04-24,2024-04-25,96,high,140,4,f
T-04dbe2,A-22d9d2,2024-07-16,2024-07-16,43,urgent,25,,f
T-ded4a8,A-0a282f,2024-05-03,2024-05-05,64,urgent,35,5,f
T-c16096,A-e08cd3,2024-12-26,2024-12-28,44,urgent,148,4,f
T-5dbf5b,A-7cfe77,2023-03-15,2023-03-16,62,high,154,3,f
T-e6b94b,A-7cfe77,2024-10-12,2024-10-13,77,low,143,3,f
T-52fdaf,A-e08cd3,2023-04-21,2023-04-23,65,urgent,23,3,f
T-7f088c,A-4e44e8,2023-06-21,2023-06-23,29,low,175,4,f
T-0aca85,A-8bde0c,2024-07-08,2024-07-08,-4,medium,153,4,f
T-1a05b7,A-2446e3,2024-02-08,2024-02-08,94,urgent,111,3,f
T-a32dd4,A-6a7c9d,2024-04-27,2024-04-28,46,high,13,,f
T-6e3b72,A-3b5cd1,2023-01-27,2023-01-27,47,medium,22,,f
T-ae7b6e,A-4e44e8,2023-02-18,2023-02-18,45,urgent,45,3,f
T-e18407,A-3b5cd1,2024-12-21,2024-12-23,58,urgent,92,,f
T-c83359,A-9208f0,2023-07-17,2023-07-17,-13,low,25,3,f
T-6b831b,A-9208f0,2024-12-12,2024-12-14,-2,low,57,3,f
T-095fc4,A-9208f0,2023-03-01,2023-03-02,29,urgent,100,,f
T-837699,A-751bd4,2024-02-22,2024-02-22,22,urgent,174,5,t
T-391128,A-0dbdc6,2023-09-11,2023-09-13,26,medium,92,,f
T-04c2d4,A-0dbdc6,2023-08-15,2023-08-16,42,low,86,,f
T-687ec1,A-0dbdc6,2024-10-10,2024-10-12,1,high,65,5,f
T-07593c,A-310452,2023-11-24,2023-11-24,119,medium,145,3,f
T-0854f6,A-310452,2024-01-31,2024-02-02,60,urgent,178,3,f
T-be05b0,A-396e5f,2024-08-15,2024-08-16,-2,urgent,27,,f
T-d2e273,A-9f9299,2024-10-05,2024-10-05,79,high,94,,f
T-08e86b,A-9f9299,2023-10-05,2023-10-05,47,urgent,160,,f
T-a528f4,A-b78bf8,2023-04-15,2023-04-16,67,urgent,7,3,f
T-3bfb51,A-425e76,2024-05-07,2024-05-07,34,high,60,,f
T-847498,A-7cfe77,2023-07-17,2023-07-19,47,high,36,,f
T-223760,A-2edab2,2023-04-01,2023-04-03,99,low,124,,f
T-863bcf,A-bece89,2024-05-28,2024-05-29,65,medium,163,4,t
T-996921,A-751bd4,2024-11-13,2024-11-14,17,urgent,124,5,f
T-d4a251,A-751bd4,2023-01-10,2023-01-10,9,urgent,127,3,f
T-546223,A-ccabf0,2023-01-04,2023-01-06,80,high,46,4,f
T-69e92c,A-ccabf0,2023-09-27,2023-09-28,90,medium,114,3,f
T-2a2ecd,A-533452,2023-10-26,2023-10-27,53,medium,30,,f
T-970c6c,A-439b2f,2024-12-12,2024-12-12,64,urgent,123,,f
T-565965,A-3b5cd1,2023-01-11,2023-01-12,59,urgent,42,4,f
T-3a3aa1,A-3b5cd1,2023-10-21,2023-10-21,44,low,24,4,f
T-411989,A-2446e3,2024-10-27,2024-10-27,56,medium,148,4,f
T-772cfe,A-e51ec7,2024-10-05,2024-10-06,32,high,87,5,f
T-b7b797,A-bbc346,2024-03-11,2024-03-12,149,medium,24,,f
T-b8e4c5,A-ef84cf,2023-11-03,2023-11-04,108,low,98,,f
T-866ebe,A-b07b56,2023-06-05,2023-06-06,120,urgent,115,,f
T-690c29,A-c222ab,2024-12-01,2024-12-03,31,medium,77,5,f
T-2c61f3,A-4bfa33,2024-06-29,2024-06-29,49,high,180,3,f
T-753ba1,A-4bfa33,2023-12-08,2023-12-08,79,high,29,,f
T-743f15,A-d49cc5,2024-12-21,2024-12-23,82,urgent,2,,f
T-1f01f6,A-4bfa33,2023-12-12,2023-12-12,48,urgent,46,4,f
T-ca36f7,A-812c5b,2023-02-28,2023-03-01,122,high,108,4,f
T-2904e8,A-692f18,2024-11-11,2024-11-11,113,low,144,,f
T-29279c,A-812c5b,2023-02-20,2023-02-21,80,urgent,127,4,f
T-b2b3fd,A-7df7a7,2024-03-19,2024-03-20,91,high,132,3,t
T-e834e7,A-310452,2024-12-29,2024-12-30,87,medium,46,4,f
T-787a34,A-396e5f,2024-03-06,2024-03-06,30,high,147,,f
T-d4805c,A-1b9609,2023-06-22,2023-06-22,90,low,42,,f
T-533b28,A-1b9609,2024-10-22,2024-10-24,115,high,26,,f
T-df66b4,A-425e76,2023-10-05,2023-10-08,69,high,160,3,f
T-f925c6,A-425e76,2023-02-14,2023-02-14,88,high,162,4,t
T-d93bf8,A-32728c,2023-01-25,2023-01-26,84,medium,51,3,f
T-87f0f2,A-425e76,2024-02-18,2024-02-20,84,medium,164,3,f
T-f39a06,A-96e141,2024-03-07,2024-03-09,91,medium,58,,f
T-686725,A-993085,2024-03-23,2024-03-25,108,medium,78,,f
T-2b6bb1,A-993085,2024-02-20,2024-02-22,81,high,33,4,f
T-7309d6,A-ccabf0,2024-04-18,2024-04-19,80,medium,43,,f
T-4c383b,A-993085,2024-12-09,2024-12-10,78,low,109,3,f
T-e4b581,A-ef84cf,2024-11-02,2024-11-02,139,low,11,4,t
T-f932f6,A-ef84cf,2023-08-07,2023-08-07,120,urgent,91,4,f
T-f09f22,A-ef84cf,2024-10-27,2024-10-29,139,urgent,54,5,f
T-e2e929,A-b07b56,2023-04-30,2023-05-01,80,high,43,3,f
T-0d73d3,A-ef84cf,2024-03-11,2024-03-13,116,low,143,,f
T-671909,A-310452,2023-05-05,2023-05-07,108,medium,60,5,f
T-20d400,A-c9bb3e,2023-10-14,2023-10-15,60,high,169,,f
T-95e4c4,A-484819,2024-02-24,2024-02-26,6,low,176,4,f
T-baea58,A-6e08f3,2024-08-22,2024-08-23,85,low,152,4,f
T-f0aca7,A-1b9609,2024-04-22,2024-04-24,46,urgent,74,3,f
T-9f53ca,A-1b9609,2024-01-23,2024-01-24,122,high,157,,f
T-41c4aa,A-f45426,2023-10-31,2023-10-31,96,low,144,,f
T-afb7aa,A-f45426,2023-05-02,2023-05-02,81,urgent,25,,f
T-7b5fdd,A-5a184f,2023-06-28,2023-06-28,62,low,56,5,f
T-0ae05a,A-7cfe77,2023-04-14,2023-04-14,43,medium,38,,f
T-99abf9,A-2edab2,2023-07-31,2023-07-31,50,high,135,3,f
T-2708ab,A-96e141,2023-11-07,2023-11-07,78,medium,42,4,f
T-f2e96f,A-96e141,2023-04-24,2023-04-24,88,urgent,130,,f
T-583d4d,A-df1e44,2023-05-12,2023-05-13,119,medium,91,5,f
T-6c4112,A-bece89,2024-02-27,2024-02-28,96,urgent,56,,f
T-17f85e,A-bece89,2024-02-24,2024-02-25,31,urgent,133,3,f
T-ebcbc7,A-7e0a10,2023-09-02,2023-09-02,-19,urgent,41,3,f
T-75271b,A-751bd4,2023-10-22,2023-10-22,13,medium,101,,f
T-a289f8,A-2446e3,2024-05-09,2024-05-12,94,medium,55,5,f
T-4e7b8f,A-e51ec7,2023-06-08,2023-06-10,60,medium,94,,f
T-bb3cde,A-bbc346,2023-06-09,2023-06-11,140,urgent,128,4,f
T-4b2bf5,A-e7a1e2,2024-03-31,2024-04-01,89,low,37,4,f
T-ec6d18,A-4e0e85,2024-09-30,2024-10-02,97,high,110,5,f
T-371908,A-d49cc5,2024-04-13,2024-04-13,90,low,53,,f
T-78ed7c,A-b07346,2024-08-13,2024-08-15,13,high,31,4,f
T-aeb97e,A-922109,2023-05-15,2023-05-15,79,medium,151,,f
T-9dc012,A-fda07f,2023-09-24,2023-09-24,113,high,2,,f
T-27d2a6,A-fda07f,2024-04-21,2024-04-22,118,low,102,,f
T-2521f4,A-812c5b,2024-08-28,2024-08-28,84,urgent,13,,f
T-4d5634,A-13466a,2024-11-04,2024-11-06,49,medium,76,3,t
T-772188,A-fda07f,2024-08-03,2024-08-03,81,urgent,68,5,f
T-3915f7,A-310452,2024-04-10,2024-04-10,68,medium,139,3,f
T-d3c23c,A-396e5f,2023-08-25,2023-08-25,51,low,166,,f
T-411de2,A-c9bb3e,2023-09-27,2023-09-29,86,low,7,5,f
T-9d2c2c,A-425e76,2024-03-05,2024-03-07,96,medium,50,,f
T-ed8926,A-32728c,2023-03-11,2023-03-12,72,medium,72,4,f
T-702e0f,A-96e141,2024-01-26,2024-01-27,93,high,17,4,f
T-3118d4,A-df1e44,2024-11-22,2024-11-24,123,high,128,,f
T-19a57f,A-2edab2,2023-10-18,2023-10-20,92,low,34,,f
T-0111f8,A-96e141,2024-04-15,2024-04-15,104,high,95,5,f
T-8b1323,A-2edab2,2024-07-15,2024-07-15,99,medium,116,,f
T-ac09fb,A-751bd4,2023-09-13,2023-09-13,74,high,97,,f
T-6ce2af,A-ccabf0,2023-04-22,2023-04-23,79,high,156,4,f
T-182de8,A-993085,2024-06-07,2024-06-08,80,low,108,,f
T-ad61d7,A-271f46,2023-02-09,2023-02-10,85,medium,79,,f
T-ce367c,A-533452,2024-07-27,2024-07-27,9,urgent,30,,f
T-85c450,A-439b2f,2023-01-05,2023-01-05,43,low,67,,f
T-dd8c7f,A-439b2f,2024-01-23,2024-01-24,41,urgent,66,,f
T-30849e,A-e51ec7,2023-03-03,2023-03-03,78,low,99,,f
T-0b8b7d,A-3b5cd1,2023-04-18,2023-04-19,31,low,53,,f
T-ba59c1,A-bbc346,2024-09-05,2024-09-07,135,medium,156,5,f
T-e44461,A-7f29a7,2024-07-08,2024-07-09,116,urgent,5,4,f
T-65eac5,A-b07b56,2023-04-19,2023-04-19,89,urgent,104,,f
T-9fff22,A-b07346,2024-03-08,2024-03-10,29,medium,162,,f
T-a594a0,A-4bfa33,2023-05-20,2023-05-20,77,medium,84,4,f
T-cee549,A-b07346,2024-11-12,2024-11-12,27,urgent,37,3,f
T-9cbdc5,A-c222ab,2024-10-28,2024-10-28,25,medium,18,,f
T-42f242,A-922109,2024-04-12,2024-04-14,56,high,104,3,f
T-d6707b,A-7df7a7,2023-04-24,2023-04-26,120,high,5,5,f
T-089718,A-812c5b,2023-01-06,2023-01-06,67,medium,105,,f
T-ac9630,A-13466a,2023-11-11,2023-11-11,120,high,130,5,f
T-0ebaee,A-659280,2024-03-05,2024-03-05,84,medium,178,,f
T-b55b60,A-659280,2024-08-25,2024-08-25,87,low,50,5,f
T-9f2d91,A-2e3bad,2024-09-20,2024-09-20,57,low,110,,f
T-035ec1,A-df10db,2024-09-11,2024-09-13,27,medium,127,3,f
T-0416e6,A-44dc83,2023-08-31,2023-09-01,33,high,120,5,f
T-fa10d0,A-0651a4,2023-09-11,2023-09-11,57,urgent,18,,f
