subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,billing_frequency,auto_renew_flag,change_type
S-7f8cd8,A-53f4e3,2024-09-18,2024-11-17,Enterprise,20,3980,47760,f,f,f,monthly,t,no_change
S-e912e6,A-a8d89d,2023-12-12,,Enterprise,78,15522,186264,f,f,f,monthly,t,no_change
S-fef85a,A-7f8241,2024-08-06,,Pro,34,1666,19992,f,f,f,annual,t,no_change
S-36d5c9,A-54ecc2,2023-09-16,,Enterprise,11,2189,26268,f,f,f,monthly,t,no_change
S-b9ff15,A-95b24a,2024-01-08,,Enterprise,43,8557,102684,f,f,f,annual,f,no_change
S-10bd09,A-bbc346,2024-09-03,,Basic,50,950,11400,f,f,f,annual,t,no_change
S-12bfc8,A-31ab9a,2024-12-06,,Enterprise,29,5771,69252,f,f,f,monthly,f,no_change
S-f5c472,A-faa28c,2024-07-09,,Basic,48,912,10944,f,f,f,monthly,t,no_change
S-dbc1ca,A-8adedc,2024-04-24,,Enterprise,14,2786,33432,f,f,f,annual,t,no_change
S-dc6dfd,A-e08cd3,2024-09-30,,Pro,67,3283,39396,f,f,f,monthly,t,no_change
S-b2d472,A-bcf87c,2024-08-27,2024-12-11,Enterprise,10,1990,23880,f,f,f,annual,f,no_change
S-9dfce0,A-e6afc1,2024-08-30,,Pro,2,98,1176,f,f,f,annual,t,no_change
S-9cb6a7,A-7f29a7,2024-12-21,,Basic,41,779,9348,f,f,f,monthly,t,no_change
S-dabcd2,A-3ce5b8,2024-09-22,,Pro,28,0,0,t,f,f,monthly,t,no_change
S-8c3cc8,A-b2225d,2024-10-17,,Basic,47,0,0,t,f,f,monthly,t,no_change
S-2923fc,A-fa3095,2024-07-08,,Enterprise,70,13930,167160,f,f,f,annual,t,no_change
S-f0a2e5,A-55f257,2024-06-05,,Basic,23,0,0,t,f,f,annual,t,no_change
S-025bea,A-9affe6,2024-06-25,,Pro,17,833,9996,f,t,f,monthly,t,upgrade
S-0e499f,A-296d7c,2024-08-17,,Pro,16,784,9408,f,f,f,annual,f,no_change
S-0267b7,A-65a46c,2024-10-17,2024-12-04,Enterprise,13,0,0,t,f,f,monthly,t,no_change
S-b5b9a5,A-812c5b,2024-07-25,,Basic,55,1045,12540,f,f,f,monthly,t,no_change
S-8e45ba,A-7f8241,2023-12-13,,Basic,34,646,7752,f,f,f,annual,f,no_change
S-37ed34,A-d4ac0e,2024-07-07,,Enterprise,20,3980,47760,f,f,f,annual,t,no_change
S-65dbf3,A-17939a,2024-12-28,,Basic,36,684,8208,f,f,f,monthly,t,no_change
S-ce5450,A-0a282f,2024-12-25,2024-12-28,Pro,8,0,0,t,f,f,annual,t,no_change
S-6c969d,A-855a48,2024-05-08,,Basic,14,266,3192,f,f,f,monthly,f,no_change
S-522aef,A-f3ff05,2024-08-22,,Pro,4,196,2352,f,f,f,annual,t,no_change
S-82db05,A-417d2f,2024-12-09,,Pro,26,1274,15288,f,f,f,monthly,t,no_change
S-162596,A-462d45,2024-02-29,,Pro,18,0,0,t,f,f,monthly,t,no_change
S-f703bd,A-202b67,2024-09-04,,Pro,11,539,6468,f,f,f,monthly,t,no_change
S-a1d6ad,A-eafc6e,2024-09-01,,Pro,27,1323,15876,f,f,f,monthly,t,no_change
S-8b1fc1,A-309e54,2024-12-26,,Basic,15,0,0,t,f,f,monthly,t,no_change
S-09cdac,A-82861f,2024-07-31,2024-09-04,Basic,41,779,9348,f,f,f,annual,t,no_change
S-fa5301,A-ba6516,2024-03-14,,Pro,55,0,0,t,f,f,monthly,f,no_change
S-69937b,A-08e34e,2024-08-08,,Pro,14,686,8232,f,f,f,annual,f,no_change
S-f2537d,A-e43bf7,2024-01-24,,Pro,44,2156,25872,f,f,f,monthly,t,no_change
S-27f7b2,A-a1b80b,2024-04-03,,Basic,38,722,8664,f,f,f,annual,t,no_change
S-9c2b8e,A-443f6f,2024-12-26,,Basic,19,361,4332,f,t,f,annual,t,upgrade
S-a4f26d,A-32728c,2023-05-21,,Pro,20,980,11760,f,f,f,monthly,t,no_change
S-0cb6ed,A-ac85cd,2024-11-09,2024-12-18,Pro,53,2597,31164,f,f,f,annual,t,no_change
S-367dee,A-e19ff6,2024-06-29,,Pro,1,49,588,f,f,f,annual,t,no_change
S-3b9ad8,A-6e08f3,2024-12-24,,Enterprise,28,5572,66864,f,f,f,monthly,f,no_change
S-c9f8c1,A-544d0a,2024-07-23,,Enterprise,5,995,11940,f,f,t,monthly,t,downgrade
S-57cd05,A-8b0451,2024-10-26,,Basic,41,779,9348,f,f,f,annual,t,no_change
S-e505c1,A-8ae3fc,2024-09-17,,Pro,34,1666,19992,f,f,f,annual,t,no_change
S-121b4d,A-8ae3fc,2024-11-22,,Basic,9,171,2052,f,f,f,annual,t,no_change
S-72b4f2,A-4437e4,2024-02-06,,Pro,49,2401,28812,f,f,f,annual,t,no_change
S-c9b0cc,A-4d1e75,2024-10-11,,Enterprise,38,7562,90744,f,f,f,monthly,t,no_change
S-27c993,A-098560,2024-11-17,,Enterprise,4,796,9552,f,f,f,monthly,t,no_change
S-8b9889,A-ac9111,2024-08-18,,Pro,21,1029,12348,f,f,f,monthly,t,no_change
S-2214c6,A-3c1a3f,2024-10-07,,Pro,82,4018,48216,f,f,f,monthly,t,no_change
S-ce695e,A-cb6cc6,2024-05-25,,Enterprise,13,0,0,t,f,f,annual,f,no_change
S-066d80,A-9b9fe9,2024-08-17,,Pro,5,245,2940,f,f,f,monthly,t,no_change
S-228457,A-029f69,2024-05-24,,Enterprise,24,4776,57312,f,f,f,annual,t,no_change
S-e50612,A-c7e58b,2024-07-15,,Basic,13,247,2964,f,f,f,annual,f,no_change
S-64fba3,A-00bed1,2024-07-16,,Enterprise,28,5572,66864,f,f,f,annual,t,no_change
S-2372d2,A-cea1f0,2024-12-22,,Enterprise,21,4179,50148,f,f,f,annual,f,no_change
S-2661dc,A-c37cab,2024-08-07,,Pro,20,0,0,t,f,f,monthly,t,no_change
S-427275,A-4c38bc,2024-07-14,,Enterprise,36,7164,85968,f,f,f,annual,t,no_change
S-628729,A-157070,2024-10-05,,Enterprise,23,4577,54924,f,f,t,monthly,t,downgrade
S-e260ff,A-bcf87c,2024-12-09,,Enterprise,21,4179,50148,f,f,f,annual,t,no_change
S-89c03a,A-8ae3fc,2024-09-20,,Pro,9,441,5292,f,f,f,monthly,t,no_change
S-86455a,A-1b9609,2023-12-01,,Pro,12,588,7056,f,f,f,monthly,t,no_change
S-3660bb,A-474ad4,2024-12-14,,Enterprise,10,0,0,t,f,f,monthly,f,no_change
S-6bf7d7,A-9bfc9f,2024-03-23,,Pro,53,2597,31164,f,f,t,annual,f,downgrade
S-feccd8,A-812c5b,2024-12-22,,Enterprise,55,10945,131340,f,f,f,monthly,t,no_change
S-0e4b0c,A-39b19f,2023-02-28,2023-06-15,Pro,24,1176,14112,f,f,t,annual,t,downgrade
S-0e0578,A-de58ca,2023-07-09,,Basic,15,285,3420,f,f,f,monthly,t,no_change
S-74538d,A-e60f9d,2024-11-13,,Pro,46,2254,27048,f,f,f,annual,t,no_change
S-c2a6cb,A-9affe6,2023-10-19,,Enterprise,7,1393,16716,f,t,f,annual,f,upgrade
S-1bd2ec,A-e60f9d,2024-12-25,2024-12-28,Basic,38,722,8664,f,f,f,annual,t,no_change
S-3cc352,A-d27f50,2024-08-06,,Pro,44,2156,25872,f,f,f,monthly,t,no_change
S-124207,A-fdfc91,2023-08-31,,Basic,29,551,6612,f,f,f,annual,t,no_change
S-76e7d9,A-712f1c,2024-02-09,,Enterprise,44,8756,105072,f,f,f,monthly,t,no_change
S-44f453,A-19b2c8,2024-02-10,,Enterprise,20,3980,47760,f,f,f,monthly,t,no_change
S-03a97f,A-f51f16,2024-03-15,,Pro,60,2940,35280,f,f,f,annual,t,no_change
S-80c01c,A-d3c88e,2024-12-16,,Basic,16,304,3648,f,t,f,annual,t,upgrade
S-666181,A-eb1312,2024-10-09,,Basic,71,1349,16188,f,f,f,annual,t,no_change
S-401496,A-68f37c,2023-08-13,2024-06-22,Enterprise,4,796,9552,f,t,f,monthly,t,upgrade
S-ca0c98,A-fda07f,2024-11-28,,Pro,7,343,4116,f,f,f,monthly,t,no_change
S-017e33,A-f9cc74,2024-11-08,2024-11-25,Basic,53,1007,12084,f,f,f,monthly,t,no_change
S-183073,A-e7a1e2,2024-07-19,,Enterprise,14,2786,33432,f,f,f,monthly,t,no_change
S-22f503,A-7a0d69,2024-09-06,,Basic,6,114,1368,f,f,f,annual,t,no_change
S-7de1b7,A-4d1e75,2024-10-27,,Enterprise,20,3980,47760,f,f,f,annual,t,no_change
S-c7f564,A-902ef7,2024-11-23,,Pro,83,0,0,t,t,f,annual,t,upgrade
S-ceffe9,A-89ee83,2024-11-23,,Enterprise,2,398,4776,f,f,f,monthly,t,no_change
S-9b2c95,A-e60f9d,2024-11-24,2024-12-05,Pro,29,0,0,t,f,f,annual,t,no_change
S-cf6ec1,A-d77f4c,2024-08-04,,Enterprise,22,4378,52536,f,t,f,monthly,f,upgrade
S-a44d72,A-b30291,2024-06-12,,Pro,18,882,10584,f,f,f,monthly,t,no_change
S-0b0ffa,A-180abf,2024-01-17,2024-04-19,Basic,64,0,0,t,f,f,annual,t,no_change
S-02af5d,A-d82ef9,2024-08-07,,Enterprise,26,0,0,t,f,f,annual,t,no_change
S-d07c53,A-249769,2024-09-24,,Basic,21,399,4788,f,f,f,annual,t,no_change
S-c67b80,A-eb2fdc,2024-02-24,,Pro,31,1519,18228,f,f,f,monthly,f,no_change
S-5d68fb,A-5f2961,2024-12-02,,Pro,49,2401,28812,f,f,f,annual,t,no_change
S-fc9cc3,A-9b9fe9,2024-01-01,,Pro,24,1176,14112,f,f,f,annual,t,no_change
S-17f71d,A-e40f45,2024-05-15,,Pro,44,2156,25872,f,t,f,monthly,t,upgrade
S-5895f0,A-bcf664,2023-10-05,,Basic,8,0,0,t,f,f,annual,t,no_change
S-b042d9,A-0e966d,2024-11-15,,Enterprise,11,2189,26268,f,f,f,annual,t,no_change
S-ffd1ee,A-f03140,2024-11-06,,Pro,27,0,0,t,f,f,annual,t,no_change
S-9c4bcd,A-a7bd4b,2024-05-14,,Pro,5,245,2940,f,t,f,monthly,t,upgrade
S-4f91d0,A-7f8241,2024-10-12,,Basic,34,646,7752,f,f,f,monthly,f,no_change
S-672f1b,A-eafc6e,2023-08-08,,Pro,27,1323,15876,f,f,f,monthly,t,no_change
S-101201,A-d49cc5,2024-02-13,,Basic,50,950,11400,f,f,f,annual,t,no_change
S-eea643,A-54ecc2,2024-10-30,,Enterprise,28,5572,66864,f,f,f,monthly,t,no_change
S-5f9a67,A-6da850,2023-12-04,,Pro,5,245,2940,f,f,f,annual,t,no_change
S-327e7c,A-4e960a,2024-02-07,,Enterprise,17,0,0,t,f,f,annual,t,no_change
S-d97c5f,A-533452,2024-11-25,,Pro,101,4949,59388,f,f,f,monthly,t,no_change
S-029c20,A-f44180,2024-12-13,,Basic,10,0,0,t,f,f,annual,f,no_change
S-a74462,A-7c83a1,2024-05-14,,Pro,48,2352,28224,f,f,f,annual,t,no_change
S-02ec76,A-e60f9d,2024-09-17,,Pro,29,1421,17052,f,f,f,monthly,t,no_change
S-d1c9e3,A-075038,2024-01-09,,Basic,17,323,3876,f,f,f,annual,t,no_change
S-51d8db,A-cc1d8d,2024-12-30,,Enterprise,6,1194,14328,f,f,f,annual,t,no_change
S-c3c85e,A-271f46,2024-10-31,,Basic,38,722,8664,f,f,f,monthly,t,no_change
S-44a646,A-1e1b80,2023-12-26,,Basic,50,950,11400,f,f,f,annual,t,no_change
S-431c03,A-e4bf56,2024-12-02,2024-12-19,Enterprise,37,7363,88356,f,f,f,monthly,t,no_change
S-4f0027,A-ff79f2,2024-12-31,2024-12-31,Enterprise,19,3781,45372,f,f,f,annual,t,no_change
S-6c9ee1,A-6da850,2024-02-20,,Enterprise,23,0,0,t,f,f,monthly,t,no_change
S-396a84,A-5b4ebb,2024-10-23,2024-11-27,Basic,21,399,4788,f,f,f,monthly,f,no_change
S-6bea24,A-3f9cc0,2024-07-06,,Basic,22,0,0,t,f,f,monthly,t,no_change
S-259804,A-d4ac0e,2024-10-01,,Basic,28,532,6384,f,f,f,annual,t,no_change
S-33e40e,A-86cdb4,2024-10-10,2024-12-29,Enterprise,2,398,4776,f,f,f,annual,t,no_change
S-fbd522,A-310452,2024-12-28,,Pro,9,0,0,t,f,f,annual,f,no_change
S-bbafad,A-854864,2024-12-27,2024-12-30,Basic,20,380,4560,f,f,f,annual,t,no_change
S-3edc14,A-d82ef9,2024-10-04,,Pro,26,0,0,t,f,f,annual,t,no_change
S-11e29d,A-71615e,2024-10-13,,Basic,32,608,7296,f,f,f,monthly,t,no_change
S-1feff8,A-5fe118,2024-12-06,,Enterprise,39,7761,93132,f,f,f,annual,t,no_change
S-61e86c,A-39ddf4,2024-12-07,,Enterprise,40,7960,95520,f,f,f,annual,t,no_change
S-af41f0,A-e83938,2024-06-27,,Basic,2,38,456,f,f,f,annual,f,no_change
S-65ae02,A-671f31,2024-12-14,,Pro,59,2891,34692,f,f,f,annual,t,no_change
S-f7fccd,A-443b7c,2024-11-18,,Basic,6,0,0,t,t,f,annual,t,upgrade
S-7904d3,A-d4e0d4,2024-11-30,2024-12-03,Enterprise,117,23283,279396,f,f,f,monthly,t,no_change
S-48a54e,A-b2225d,2024-10-29,,Basic,47,0,0,t,f,f,monthly,t,no_change
S-4a08bd,A-e08cd3,2024-10-11,,Pro,67,3283,39396,f,f,f,annual,f,no_change
S-faa8ec,A-2e4581,2024-12-09,,Basic,11,209,2508,f,f,f,monthly,t,no_change
S-8db104,A-4a267b,2024-10-18,,Pro,25,1225,14700,f,f,t,monthly,t,downgrade
S-3c0121,A-7c83a1,2024-12-30,,Pro,24,1176,14112,f,f,f,monthly,t,no_change
S-13ca37,A-6843f2,2024-12-21,,Pro,21,0,0,t,f,t,monthly,t,downgrade
S-163e64,A-dfbd31,2024-11-08,,Enterprise,62,12338,148056,f,f,f,monthly,t,no_change
S-4d1ba6,A-00cac8,2024-04-04,,Enterprise,9,0,0,t,f,f,annual,f,no_change
S-e98d6b,A-309e54,2024-12-31,,Basic,15,285,3420,f,f,f,annual,t,no_change
S-041624,A-6843f2,2024-12-12,,Enterprise,21,4179,50148,f,f,f,monthly,t,no_change
S-b78829,A-2e4581,2024-11-12,,Pro,20,980,11760,f,f,f,monthly,t,no_change
S-ca1c21,A-f92792,2024-12-02,,Basic,9,0,0,t,f,f,annual,f,no_change
S-e1de58,A-ce550d,2024-10-28,,Enterprise,35,6965,83580,f,t,f,annual,t,upgrade
S-721fea,A-f6b2fb,2024-05-23,,Pro,23,1127,13524,f,f,t,monthly,t,downgrade
S-eaac58,A-ff3c73,2023-04-08,,Basic,66,1254,15048,f,f,f,annual,t,no_change
S-1218fd,A-2d4502,2024-11-02,,Basic,14,266,3192,f,t,f,monthly,f,upgrade
S-936732,A-2f6a32,2024-11-28,2024-12-06,Pro,19,931,11172,f,f,f,annual,t,no_change
S-c2f293,A-69b156,2024-12-10,2024-12-30,Basic,8,152,1824,f,f,f,monthly,f,no_change
S-fe3b71,A-44dc83,2024-09-24,,Enterprise,37,0,0,t,f,f,monthly,t,no_change
S-f5f5b3,A-89ee83,2024-12-26,2024-12-29,Basic,10,190,2280,f,f,f,annual,t,no_change
S-4afb53,A-40de06,2023-12-12,2024-12-29,Enterprise,28,5572,66864,f,f,f,monthly,t,no_change
S-851bbe,A-d77f4c,2024-04-22,,Enterprise,94,18706,224472,f,t,f,annual,t,upgrade
S-dab0d5,A-cc1d8d,2024-12-14,,Basic,5,0,0,t,f,f,monthly,t,no_change
S-9aa190,A-9b9fe9,2024-10-17,,Basic,33,627,7524,f,f,f,annual,t,no_change
S-f89d8c,A-88c6ca,2024-12-18,,Pro,49,2401,28812,f,f,f,monthly,t,no_change
S-766a62,A-1ac5e0,2024-11-24,,Enterprise,33,0,0,t,f,f,monthly,f,no_change
S-10134d,A-52dd88,2024-09-09,,Enterprise,23,4577,54924,f,f,f,annual,t,no_change
S-85de7a,A-940b8b,2024-04-01,,Enterprise,32,6368,76416,f,f,t,annual,t,downgrade
S-85796b,A-f19409,2024-08-27,2024-10-31,Enterprise,23,4577,54924,f,f,f,monthly,t,no_change
S-c97464,A-f5641b,2024-10-16,,Pro,38,1862,22344,f,f,f,monthly,f,no_change
S-6732ff,A-9affe6,2023-11-22,,Pro,24,1176,14112,f,f,f,annual,t,no_change
S-aa20eb,A-6f8ad2,2024-09-08,,Pro,1,49,588,f,f,f,monthly,f,no_change
S-b6aabe,A-902ef7,2024-12-25,,Basic,83,1577,18924,f,f,f,annual,t,no_change
S-0ff339,A-6dee43,2024-01-21,,Basic,12,228,2736,f,f,f,annual,t,no_change
S-4d664d,A-cc1d8d,2024-12-26,,Pro,16,784,9408,f,t,t,annual,t,conflict
S-8deb5f,A-533452,2024-12-25,,Basic,52,988,11856,f,f,f,annual,f,no_change
S-e2d4e9,A-18793f,2024-12-30,,Basic,148,0,0,t,t,f,monthly,t,upgrade
S-d8441d,A-8adedc,2024-03-16,,Basic,4,76,912,f,f,f,annual,t,no_change
S-6d356a,A-425e76,2023-06-26,,Basic,28,532,6384,f,f,f,annual,f,no_change
S-c005ac,A-92a3af,2024-09-18,,Enterprise,25,4975,59700,f,f,f,annual,t,no_change
S-d0913e,A-eb2fdc,2024-11-14,,Pro,31,1519,18228,f,f,f,monthly,t,no_change
S-4bef15,A-600734,2024-08-14,2024-09-22,Enterprise,29,0,0,t,f,f,annual,t,no_change
S-2573e4,A-7f8241,2024-01-25,,Basic,60,1140,13680,f,f,f,monthly,t,no_change
S-80c291,A-712533,2024-01-06,,Enterprise,18,3582,42984,f,f,f,annual,t,no_change
S-64acb8,A-3be56b,2024-08-21,,Enterprise,30,5970,71640,f,f,f,monthly,t,no_change
S-13a948,A-d5a319,2024-07-24,,Enterprise,15,2985,35820,f,t,f,monthly,f,upgrade
S-081b81,A-b20d99,2024-01-30,,Basic,20,380,4560,f,f,f,annual,t,no_change
S-68c537,A-9ee962,2024-06-06,,Enterprise,29,5771,69252,f,f,f,monthly,t,no_change
S-3f82bc,A-d5a319,2023-10-30,,Basic,15,0,0,t,f,t,monthly,t,downgrade
S-fe6311,A-5c9849,2024-11-11,,Enterprise,19,0,0,t,f,f,monthly,t,no_change
S-b3c4b8,A-c43359,2024-12-17,,Pro,38,0,0,t,f,f,annual,t,no_change
S-8923b3,A-157070,2024-05-17,,Basic,27,513,6156,f,f,f,annual,t,no_change
S-2410c6,A-5247b3,2024-05-11,,Basic,33,627,7524,f,f,f,annual,f,no_change
S-7a06fe,A-5a92e7,2024-09-28,,Pro,28,1372,16464,f,f,f,monthly,t,no_change
S-ceaca8,A-96e141,2024-08-10,,Enterprise,24,4776,57312,f,f,f,monthly,t,no_change
S-02c3e7,A-7c4956,2024-08-14,,Enterprise,6,1194,14328,f,f,f,annual,t,no_change
S-3a1a06,A-eb7fac,2024-07-09,,Enterprise,14,2786,33432,f,f,f,monthly,t,no_change
S-7f5d03,A-22d9d2,2024-06-10,,Pro,25,1225,14700,f,f,f,monthly,f,no_change
S-c10f0c,A-0f7d77,2024-11-11,,Basic,6,114,1368,f,f,f,monthly,f,no_change
S-cdd00a,A-4e44e8,2024-08-23,,Basic,38,722,8664,f,f,f,monthly,t,no_change
S-d57a67,A-2446e3,2024-07-14,,Pro,27,1323,15876,f,f,f,monthly,t,no_change
S-f75ac4,A-faa28c,2024-02-17,,Enterprise,48,0,0,t,f,f,annual,t,no_change
S-76c59f,A-0aaf6e,2024-08-01,,Basic,24,456,5472,f,f,f,annual,t,no_change
S-0a15fa,A-bb1eaa,2024-12-12,,Pro,25,1225,14700,f,f,f,annual,t,no_change
S-d0f5fb,A-39868b,2024-04-25,,Enterprise,9,1791,21492,f,f,f,annual,f,no_change
S-ffb6cc,A-94d3da,2024-09-28,,Enterprise,41,8159,97908,f,f,f,monthly,f,no_change
S-1b8300,A-faa28c,2024-05-23,,Enterprise,48,0,0,t,t,f,monthly,t,upgrade
S-88de1c,A-18793f,2024-12-24,,Basic,148,2812,33744,f,f,f,annual,t,no_change
S-a88ffd,A-cc102e,2024-09-06,,Pro,13,637,7644,f,f,f,annual,t,no_change
S-f12a54,A-f3ff05,2024-11-24,,Pro,2,98,1176,f,f,f,monthly,t,no_change
S-f9b284,A-22d9d2,2024-07-02,,Pro,8,392,4704,f,f,f,annual,t,no_change
S-61e53d,A-d42431,2024-11-15,2024-12-14,Basic,22,418,5016,f,f,f,annual,f,no_change
S-4c5456,A-149a69,2024-12-19,,Basic,34,646,7752,f,f,f,monthly,t,no_change
S-b15cde,A-ee42db,2023-05-01,,Pro,13,637,7644,f,f,f,monthly,t,no_change
S-9e6a18,A-7d514c,2024-11-06,,Pro,21,1029,12348,f,t,f,monthly,f,upgrade
S-0b2ac3,A-d792a6,2024-01-01,,Basic,7,0,0,t,f,f,annual,t,no_change
S-cb8a5c,A-1e6fc3,2024-12-17,,Enterprise,1,199,2388,f,f,f,annual,t,no_change
S-8b52b5,A-c1dfe1,2024-03-04,,Enterprise,26,5174,62088,f,f,f,monthly,t,no_change
S-79b2bc,A-249769,2024-08-28,,Basic,4,76,912,f,f,f,monthly,t,no_change
S-4fd9ba,A-d4ac0e,2024-09-10,,Basic,24,456,5472,f,t,f,monthly,t,upgrade
S-163e9d,A-ccabf0,2024-03-03,,Enterprise,11,2189,26268,f,f,f,annual,t,no_change
S-8324d4,A-5a215a,2024-07-13,2024-08-03,Pro,87,0,0,t,f,f,monthly,t,no_change
S-22f848,A-993085,2023-10-15,,Enterprise,49,9751,117012,f,f,f,annual,t,no_change
S-b32512,A-854864,2024-12-25,,Enterprise,20,3980,47760,f,f,f,monthly,t,no_change
S-98ac99,A-8ed5dd,2023-11-09,,Basic,5,95,1140,f,t,f,annual,t,upgrade
S-93fab3,A-9f9299,2024-11-10,2024-12-31,Pro,28,1372,16464,f,f,f,annual,t,no_change
