account_id,account_name,industry,country,signup_date,refferal_source,plan_tier,seats,is_trial,churn_flag
A-94f8c9,Company_51,HealthTech,United States,2024-03-29,other,Basic,13,f,f
A-02fac6,Company_52,FinTech,United States,2023-04-06,event,Pro,22,f,f
A-c1dfe1,Company_53,DevTools,Germany,2023-08-07,ads,Pro,26,f,f
A-32728c,Company_54,DevTools,United States,2023-01-03,event,Pro,20,f,t
A-4c38bc,Company_55,HealthTech,United Kingdom,2024-03-09,event,Basic,36,f,t
A-1b707d,Company_56,Cybersecurity,United States,2023-07-14,organic,Enterprise,1,f,f
A-6f8ad2,Company_57,EdTech,India,2024-07-09,organic,Basic,1,f,f
A-4d1e75,Company_58,DevTools,United States,2024-08-21,other,Basic,20,f,f
A-9ee962,Company_59,HealthTech,United States,2023-02-28,ads,Basic,9,f,t
A-378b99,Company_60,EdTech,United Kingdom,2024-09-01,ads,Pro,8,t,f
A-94d3da,Company_61,HealthTech,United States,2023-05-03,other,Basic,41,f,f
A-e351e1,Company_62,EdTech,United States,2024-09-26,other,Enterprise,33,f,f
A-9badbd,Company_63,Cybersecurity,Germany,2024-06-19,ads,Enterprise,5,t,f
A-7e0a10,Company_64,FinTech,United States,2023-11-18,ads,Enterprise,46,f,f
A-118d55,Company_65,Cybersecurity,United States,2024-10-22,organic,Basic,8,f,f
A-526d93,Company_66,HealthTech,France,2024-04-14,organic,Basic,43,f,f
A-f92792,Company_67,FinTech,United States,2024-07-04,ads,Pro,1,f,f
A-84ebe4,Company_68,FinTech,United States,2023-03-12,ads,Pro,18,t,t
A-5b4ebb,Company_69,Cybersecurity,United Kingdom,2024-07-10,other,Basic,21,t,t
A-2922b6,Company_70,HealthTech,United States,2024-11-14,organic,Basic,15,f,f
A-9b9fe9,Company_71,EdTech,Australia,2023-09-28,other,Basic,5,f,f
A-a8b49c,Company_72,Cybersecurity,United Kingdom,2023-10-06,partner,Basic,7,f,f
A-9174e0,Company_73,Cybersecurity,United States,2024-12-04,partner,Basic,37,f,f
A-a1bbb6,Company_74,DevTools,Canada,2023-04-05,organic,Basic,1,f,f
A-c45b23,Company_75,FinTech,United Kingdom,2023-12-08,partner,Basic,5,f,f
A-02cd81,Company_76,HealthTech,India,2024-03-28,other,Basic,44,f,f
A-ee42db,Company_77,EdTech,Germany,2023-04-25,ads,Enterprise,13,f,f
A-432483,Company_78,Cybersecurity,United States,2023-02-06,ads,Pro,4,f,f
A-9208f0,Company_79,EdTech,United States,2023-05-11,organic,Pro,1,f,t
A-98a59a,Company_80,FinTech,United Kingdom,2023-08-04,partner,Enterprise,56,f,f
A-fe79a5,Company_81,HealthTech,India,2024-02-21,ads,Basic,9,t,f
A-726cfa,Company_82,DevTools,United States,2023-07-01,partner,Pro,11,f,f
A-c43359,Company_83,FinTech,United States,2024-11-16,organic,Pro,38,f,f
A-271f46,Company_84,DevTools,United States,2023-02-09,event,Pro,38,f,t
A-157070,Company_85,FinTech,United States,2023-11-09,ads,Pro,16,f,f
A-40a557,Company_86,Cybersecurity,Australia,2023-12-03,partner,Pro,16,t,f
A-66224b,Company_87,HealthTech,United States,2024-10-18,other,Pro,92,t,f
A-91e948,Company_88,EdTech,Australia,2023-01-29,partner,Basic,41,f,f
A-104f1a,Company_89,Cybersecurity,United States,2024-08-17,other,Pro,24,f,f
A-7988d1,Company_90,Cybersecurity,United States,2023-12-20,other,Basic,33,f,f
A-faa28c,Company_91,HealthTech,United States,2024-01-30,organic,Enterprise,48,f,f
A-f25509,Company_92,EdTech,United States,2024-03-22,other,Enterprise,32,f,f
A-3a7284,Company_93,FinTech,United States,2024-11-17,organic,Enterprise,31,f,f
A-3a5ad8,Company_94,HealthTech,United States,2023-12-05,organic,Enterprise,9,t,f
A-65a46c,Company_95,HealthTech,United States,2023-11-04,event,Pro,1,f,f
A-8b25f2,Company_96,Cybersecurity,United States,2024-02-17,ads,Pro,6,f,t
A-fabe19,Company_97,DevTools,United Kingdom,2024-11-11,ads,Enterprise,1,f,f
A-adc1f3,Company_98,Cybersecurity,United States,2024-08-05,organic,Pro,2,f,f
A-503d5a,Company_99,FinTech,United States,2023-10-21,other,Enterprise,4,f,t
A-fd7ad3,Company_100,Cybersecurity,United States,2024-11-01,event,Enterprise,1,f,f
A-186a44,Company_101,HealthTech,United States,2023-08-07,ads,Enterprise,20,f,f
A-e888d1,Company_102,Cybersecurity,United States,2023-03-28,other,Pro,14,f,f
A-69fad4,Company_103,FinTech,United Kingdom,2023-04-06,ads,Basic,6,f,t
A-9289f6,Company_104,EdTech,United States,2023-05-31,event,Enterprise,1,f,f
A-f19409,Company_105,DevTools,United States,2023-03-16,other,Basic,23,f,t
A-22f2df,Company_106,DevTools,United States,2024-12-14,ads,Basic,3,f,f
A-039727,Company_107,EdTech,Australia,2024-11-02,organic,Pro,25,f,f
A-2e3bad,Company_108,FinTech,Canada,2023-08-13,other,Pro,61,f,f
A-484819,Company_109,HealthTech,United States,2023-02-21,organic,Pro,18,f,f
A-425e76,Company_110,DevTools,United Kingdom,2023-05-17,other,Enterprise,8,f,t
A-e83938,Company_111,DevTools,United Kingdom,2023-11-21,other,Pro,2,t,t
A-ad296b,Company_112,DevTools,Australia,2024-07-15,event,Pro,38,f,f
A-e51ec7,Company_113,FinTech,Canada,2023-09-23,partner,Enterprise,2,f,f
A-0aaf6e,Company_114,FinTech,United States,2024-05-11,organic,Enterprise,3,f,f
A-e61e98,Company_115,FinTech,United States,2023-10-20,partner,Enterprise,19,f,t
A-92a333,Company_116,FinTech,United States,2023-03-24,event,Enterprise,9,f,f
A-95b24a,Company_117,FinTech,United States,2023-06-06,event,Pro,38,f,t
A-42e5e1,Company_118,DevTools,United States,2024-07-09,ads,Pro,1,f,t
A-7d514c,Company_119,HealthTech,Germany,2024-02-03,organic,Enterprise,17,f,f
A-65aeb5,Company_120,DevTools,United States,2024-01-25,partner,Pro,9,f,f
A-e2cd1b,Company_121,DevTools,United States,2024-02-04,other,Enterprise,15,f,f
A-180abf,Company_122,DevTools,United States,2023-08-14,event,Pro,64,f,t
A-f17767,Company_123,DevTools,United States,2023-01-30,event,Enterprise,1,t,t
A-5a184f,Company_124,DevTools,Germany,2023-06-19,other,Enterprise,1,f,t
A-7df7a7,Company_125,DevTools,United States,2023-01-28,organic,Basic,7,f,t
A-1ac5e0,Company_126,DevTools,United States,2024-10-20,event,Basic,33,f,t
A-52dd88,Company_127,Cybersecurity,United States,2023-02-21,ads,Pro,23,f,f
A-bece89,Company_128,Cybersecurity,India,2023-12-01,event,Pro,26,f,f
A-029f69,Company_129,Cybersecurity,Canada,2024-03-07,event,Basic,3,f,f
A-5c046d,Company_130,EdTech,France,2024-07-06,partner,Basic,93,f,f
A-fb186e,Company_131,EdTech,India,2024-10-27,organic,Basic,29,f,f
A-ae052e,Company_132,FinTech,Canada,2023-09-11,other,Basic,39,f,f
A-9f9299,Company_133,FinTech,United States,2023-09-02,organic,Enterprise,28,t,f
A-96e141,Company_134,DevTools,United Kingdom,2023-08-12,partner,Basic,14,f,f
A-117171,Company_135,HealthTech,France,2024-09-12,organic,Basic,45,f,t
A-313be3,Company_136,EdTech,United States,2023-11-15,partner,Enterprise,47,t,f
A-671f31,Company_137,DevTools,United States,2024-11-24,ads,Basic,59,f,f
A-bbc346,Company_138,FinTech,United States,2024-08-29,partner,Enterprise,19,f,f
A-c16101,Company_139,EdTech,India,2024-09-06,other,Basic,7,f,f
A-50f3f7,Company_140,HealthTech,United States,2023-12-22,partner,Basic,31,f,t
A-7da956,Company_141,Cybersecurity,United States,2024-06-02,event,Pro,13,t,f
A-019782,Company_142,DevTools,France,2023-04-19,event,Enterprise,11,f,f
A-df10db,Company_143,DevTools,United States,2023-06-06,other,Enterprise,2,t,f
A-3932db,Company_144,HealthTech,Canada,2023-10-04,other,Pro,19,t,t
A-4f18f0,Company_145,DevTools,Canada,2024-04-21,other,Pro,24,t,f
A-4c6f11,Company_146,FinTech,Canada,2023-11-27,organic,Pro,24,t,t
A-8ae05d,Company_147,FinTech,India,2024-04-06,other,Enterprise,86,f,f
A-b78bf8,Company_148,DevTools,United States,2024-11-15,event,Pro,33,f,f
A-eafc6e,Company_149,DevTools,United States,2023-07-06,partner,Pro,27,f,t
A-37f969,Company_150,HealthTech,India,2023-10-14,partner,Enterprise,30,f,f
A-10b8f2,Company_151,HealthTech,Germany,2023-01-11,organic,Basic,47,t,f
A-439b2f,Company_152,DevTools,United States,2024-02-21,ads,Enterprise,1,f,t
A-544d0a,Company_153,DevTools,United States,2024-05-02,organic,Basic,2,t,f
A-ba6516,Company_154,FinTech,United States,2023-10-29,ads,Pro,27,f,f
A-712426,Company_155,HealthTech,United States,2024-11-10,other,Enterprise,9,f,f
A-038089,Company_156,DevTools,France,2023-12-19,other,Pro,5,f,t
A-afa505,Company_157,DevTools,United States,2023-12-27,partner,Basic,70,t,f
A-d5a319,Company_158,FinTech,United States,2023-05-04,other,Enterprise,15,f,t
A-f97b9a,Company_159,FinTech,United States,2023-07-09,event,Pro,16,f,f
A-2f6a32,Company_160,HealthTech,United States,2024-08-26,organic,Basic,19,f,f
A-856b1e,Company_161,FinTech,United States,2023-10-31,partner,Basic,19,f,f
A-17939a,Company_162,HealthTech,United States,2024-12-26,organic,Basic,1,f,f
A-d27f50,Company_163,Cybersecurity,United Kingdom,2024-07-20,ads,Enterprise,44,f,f
A-e36807,Company_164,EdTech,Australia,2024-05-17,other,Pro,6,f,f
A-ff79f2,Company_165,DevTools,United States,2024-04-25,ads,Basic,8,f,t
A-5b1bcd,Company_166,DevTools,United States,2023-09-16,organic,Pro,73,f,f
A-71615e,Company_167,EdTech,United States,2024-05-18,organic,Basic,15,f,f
A-794a0b,Company_168,HealthTech,Germany,2023-06-02,organic,Basic,23,f,f
A-86902e,Company_169,HealthTech,India,2023-05-02,other,Enterprise,34,f,f
A-0532a9,Company_170,FinTech,India,2024-09-25,event,Pro,19,f,f
A-9779ad,Company_171,Cybersecurity,Australia,2024-03-29,event,Pro,40,t,t
A-f45426,Company_172,HealthTech,United States,2024-08-05,organic,Basic,9,f,f
A-c1e51e,Company_173,FinTech,United States,2024-10-02,organic,Basic,3,f,f
A-fa3095,Company_174,FinTech,United States,2023-09-03,ads,Basic,70,f,f
A-ad64c6,Company_175,DevTools,United Kingdom,2024-02-23,event,Pro,12,f,f
A-39b19f,Company_176,FinTech,United States,2023-02-03,partner,Enterprise,1,f,f
A-56962b,Company_177,EdTech,United Kingdom,2024-04-09,partner,Enterprise,163,f,f
A-e60f9d,Company_178,FinTech,United States,2024-08-26,other,Basic,29,f,f
A-88c6ca,Company_179,FinTech,Germany,2024-10-25,ads,Basic,5,f,t
A-158f4e,Company_180,FinTech,India,2023-03-03,other,Enterprise,61,f,f
A-5b051a,Company_181,Cybersecurity,United States,2024-08-05,event,Enterprise,22,f,f
A-296d7c,Company_182,DevTools,Germany,2023-11-08,other,Enterprise,2,f,f
A-1619f8,Company_183,DevTools,United States,2024-05-20,organic,Pro,29,f,f
A-a1b80b,Company_184,HealthTech,United States,2023-11-27,organic,Basic,16,f,f
A-139c3b,Company_185,HealthTech,United States,2024-11-21,organic,Enterprise,10,t,t
A-702032,Company_186,HealthTech,United States,2023-10-03,ads,Pro,28,f,f
A-7a0d69,Company_187,DevTools,Germany,2024-06-15,ads,Enterprise,4,t,t
A-22d9d2,Company_188,DevTools,France,2024-03-22,event,Pro,8,f,f
A-b9eed8,Company_189,Cybersecurity,United States,2024-02-23,organic,Basic,11,f,f
A-dfbd31,Company_190,DevTools,United Kingdom,2023-12-04,partner,Enterprise,14,f,f
A-8e47ca,Company_191,HealthTech,United States,2024-02-15,organic,Pro,19,f,f
A-4437e4,Company_192,Cybersecurity,United States,2023-09-16,event,Enterprise,3,f,f
A-779e4e,Company_193,HealthTech,United States,2023-01-02,organic,Basic,5,f,f
A-53f4e3,Company_194,Cybersecurity,United Kingdom,2024-06-14,event,Enterprise,13,f,f
A-692f18,Company_195,EdTech,United States,2024-03-28,other,Basic,5,t,t
A-13466a,Company_196,DevTools,Australia,2023-10-22,event,Basic,2,f,t
A-1986ca,Company_197,HealthTech,India,2023-01-30,ads,Pro,20,f,f
A-0cc442,Company_198,EdTech,United States,2024-07-18,organic,Basic,45,f,f
A-c608c8,Company_199,DevTools,Germany,2023-04-27,ads,Pro,3,f,t
A-3be56b,Company_200,HealthTech,India,2023-10-26,event,Pro,3,f,t
A-354f12,Company_201,FinTech,United States,2024-04-28,ads,Pro,1,t,f
A-68f37c,Company_202,HealthTech,United States,2023-07-15,ads,Basic,4,f,f
A-aa9511,Company_203,DevTools,United States,2023-10-10,other,Pro,23,t,f
A-af0cd2,Company_204,Cybersecurity,India,2023-01-03,other,Enterprise,19,t,f
A-bd4513,Company_205,DevTools,Australia,2024-11-06,event,Enterprise,50,t,f
A-c222ab,Company_206,Cybersecurity,United States,2024-05-10,other,Pro,32,f,t
A-34d880,Company_207,Cybersecurity,Australia,2024-04-11,ads,Enterprise,4,f,f
A-508199,Company_208,FinTech,Australia,2024-01-28,event,Basic,19,f,f
A-f03140,Company_209,DevTools,India,2023-11-22,event,Pro,27,t,f
A-410e86,Company_210,FinTech,United States,2024-11-10,organic,Basic,24,f,f
A-fa2041,Company_211,HealthTech,United States,2024-05-29,organic,Pro,15,t,f
A-de58ca,Company_212,HealthTech,Germany,2023-04-13,organic,Enterprise,15,f,f
A-05d3b3,Company_213,DevTools,Australia,2023-05-28,ads,Basic,9,t,f
A-249769,Company_214,Cybersecurity,United States,2024-04-25,event,Enterprise,4,f,t
A-e43bf7,Company_215,Cybersecurity,Australia,2023-03-24,other,Pro,44,f,f
A-eb2fdc,Company_216,DevTools,Australia,2023-11-21,organic,Enterprise,31,f,t
A-e1462e,Company_217,FinTech,United Kingdom,2023-03-12,partner,Basic,15,f,f
A-cab532,Company_218,DevTools,France,2023-04-03,organic,Pro,11,t,f
A-9123ac,Company_219,Cybersecurity,Germany,2023-06-20,organic,Pro,9,f,f
A-6e08f3,Company_220,Cybersecurity,United States,2023-02-27,event,Basic,8,f,f
A-d922bf,Company_221,HealthTech,United States,2023-09-08,ads,Basic,5,t,t
A-8ed5dd,Company_222,EdTech,United Kingdom,2023-06-29,event,Enterprise,5,f,t
A-7c6b6b,Company_223,FinTech,United States,2024-11-30,other,Basic,6,f,f
A-3c1a3f,Company_224,DevTools,United Kingdom,2023-08-26,event,Pro,1,f,f
A-b48f73,Company_225,EdTech,Australia,2024-11-13,event,Pro,80,t,f
A-76fa4d,Company_226,HealthTech,United States,2024-11-24,event,Pro,69,f,f
A-b2af2e,Company_227,Cybersecurity,United Kingdom,2024-08-24,event,Enterprise,5,f,f
A-9bfc9f,Company_228,DevTools,Canada,2023-09-14,ads,Pro,53,f,f
A-4ae22a,Company_229,EdTech,United States,2024-05-09,other,Pro,6,f,t
A-fda07f,Company_230,Cybersecurity,France,2024-08-11,partner,Basic,7,f,f
A-de24d5,Company_231,DevTools,United States,2024-11-05,other,Enterprise,5,t,f
A-977ca0,Company_232,HealthTech,India,2023-02-20,partner,Basic,6,f,t
A-ab438f,Company_233,Cybersecurity,United States,2024-09-13,ads,Enterprise,13,f,t
A-e89151,Company_234,FinTech,United Kingdom,2023-09-14,organic,Pro,8,t,t
A-40906c,Company_235,EdTech,United States,2024-03-27,ads,Basic,92,f,f
A-81edc3,Company_236,Cybersecurity,India,2023-10-30,ads,Basic,5,f,f
A-328bd0,Company_237,HealthTech,Australia,2023-05-16,partner,Enterprise,18,f,f
A-b3fe05,Company_238,Cybersecurity,Canada,2024-05-28,partner,Pro,8,f,f
A-09540c,Company_239,Cybersecurity,Canada,2023-10-30,event,Basic,67,t,f
A-e693b6,Company_240,FinTech,Australia,2023-05-25,event,Enterprise,55,f,t
A-2446e3,Company_241,EdTech,India,2024-01-10,organic,Pro,27,f,f
A-241e75,Company_242,EdTech,United States,2024-07-03,partner,Enterprise,3,f,f
A-922109,Company_243,Cybersecurity,United States,2024-01-26,ads,Pro,3,f,f
A-ff3c73,Company_244,HealthTech,Australia,2023-01-26,other,Pro,21,f,f
A-8b0451,Company_245,FinTech,United Kingdom,2024-09-16,event,Enterprise,41,f,f
A-331424,Company_246,DevTools,United States,2023-11-06,organic,Basic,11,f,f
A-51ec1b,Company_247,DevTools,United States,2023-11-08,ads,Enterprise,7,f,f
A-bcf664,Company_248,DevTools,United States,2023-05-19,other,Pro,5,f,f
A-90a8c8,Company_249,FinTech,Australia,2024-08-24,organic,Pro,15,f,f
A-86cdb4,Company_250,DevTools,Germany,2024-09-22,partner,Basic,2,f,f
A-4bfa33,Company_251,Cybersecurity,United States,2024-12-07,event,Basic,8,t,f
A-dbc825,Company_252,EdTech,France,2024-01-07,partner,Enterprise,19,f,f
A-c70870,Company_253,Cybersecurity,United States,2024-10-22,partner,Basic,31,f,f
A-7c4956,Company_254,DevTools,United States,2023-05-06,ads,Enterprise,5,f,t
A-0651a4,Company_255,HealthTech,France,2024-10-16,organic,Pro,16,f,f
A-3ce5b8,Company_256,FinTech,India,2023-09-07,ads,Basic,8,f,t
A-bd4708,Company_257,FinTech,United States,2024-07-21,ads,Pro,37,t,f
A-993085,Company_258,HealthTech,United States,2023-06-01,ads,Basic,31,t,f
A-92a3af,Company_259,Cybersecurity,India,2024-07-07,organic,Enterprise,25,f,f
A-151c9a,Company_260,FinTech,United States,2023-01-27,ads,Enterprise,23,f,f
A-474ad4,Company_261,EdTech,United States,2023-11-28,organic,Basic,8,f,f
A-4ef964,Company_262,HealthTech,United States,2024-03-07,organic,Pro,17,f,f
A-fd9422,Company_263,Cybersecurity,United States,2024-04-04,organic,Pro,58,f,f
A-0baac2,Company_264,FinTech,Germany,2024-05-30,organic,Enterprise,14,f,t
A-bb1486,Company_265,HealthTech,United States,2024-11-05,organic,Basic,41,f,f
A-560d27,Company_266,DevTools,United States,2024-05-05,organic,Pro,23,f,f
A-0b0d6d,Company_267,DevTools,United States,2024-12-30,organic,Pro,3,f,f
A-2789e3,Company_268,FinTech,United States,2024-09-14,partner,Enterprise,11,f,f
A-b07346,Company_269,HealthTech,United States,2024-10-10,partner,Pro,51,f,t
A-902ef7,Company_270,HealthTech,United States,2024-09-03,other,Enterprise,83,f,t
A-20736a,Company_271,EdTech,India,2024-03-16,organic,Enterprise,50,f,f
A-e4bf56,Company_272,HealthTech,India,2024-10-28,ads,Pro,17,f,t
A-cea1f0,Company_273,FinTech,United States,2024-04-07,event,Pro,8,f,t
A-ef84cf,Company_274,EdTech,United States,2024-03-01,partner,Enterprise,8,f,f
A-d49cc5,Company_275,Cybersecurity,France,2023-09-19,event,Basic,50,f,f
A-67be94,Company_276,EdTech,United States,2023-04-04,organic,Enterprise,26,f,f
A-4e960a,Company_277,FinTech,United States,2024-01-17,other,Enterprise,12,t,t
A-c37cab,Company_278,Cybersecurity,United Kingdom,2024-07-29,event,Pro,13,f,f
A-533452,Company_279,DevTools,Australia,2024-11-12,organic,Pro,9,f,f
A-443b7c,Company_280,Cybersecurity,United States,2024-09-06,other,Enterprise,1,f,t
A-1f7acb,Company_281,FinTech,United Kingdom,2023-08-06,ads,Basic,64,t,f
A-f51f16,Company_282,HealthTech,United States,2023-12-25,partner,Enterprise,1,f,f
A-5a3eb9,Company_283,DevTools,Canada,2023-08-20,other,Enterprise,18,t,f
A-5f2961,Company_284,HealthTech,United States,2024-11-22,partner,Basic,4,f,f
A-417d2f,Company_285,Cybersecurity,India,2023-07-04,partner,Pro,4,t,f
A-e98302,Company_286,EdTech,United States,2023-12-26,ads,Enterprise,16,t,f
A-8bde0c,Company_287,DevTools,United States,2024-11-04,organic,Basic,12,f,f
A-bcf87c,Company_288,FinTech,United States,2024-06-27,event,Pro,10,f,t
A-54ecc2,Company_289,Cybersecurity,United States,2023-06-11,partner,Enterprise,4,f,f
A-625d0b,Company_290,EdTech,Australia,2024-09-02,ads,Basic,9,f,f
A-fce879,Company_291,EdTech,United Kingdom,2024-09-24,partner,Pro,10,t,t
A-b07b56,Company_292,DevTools,United States,2024-11-08,event,Pro,25,f,t
A-6da850,Company_293,FinTech,India,2023-10-07,organic,Pro,5,f,f
A-342303,Company_294,EdTech,United States,2024-03-16,other,Pro,1,t,f
A-e7a1e2,Company_295,Cybersecurity,United States,2024-06-23,event,Enterprise,3,f,f
A-f1f639,Company_296,EdTech,United States,2023-02-26,ads,Basic,2,f,f
A-a865bd,Company_297,Cybersecurity,United States,2023-09-19,organic,Pro,38,f,f
A-4e631b,Company_298,FinTech,United States,2024-03-16,other,Enterprise,22,f,f
A-7f6b86,Company_299,HealthTech,United States,2023-08-24,partner,Basic,45,t,t
A-8adedc,Company_300,EdTech,United States,2024-02-11,event,Basic,4,t,t
A-2edab2,Company_301,HealthTech,United States,2023-11-17,event,Enterprise,17,f,f
A-149a69,Company_302,DevTools,United States,2024-10-17,event,Basic,34,f,f
A-a6d261,Company_303,FinTech,Canada,2023-11-29,other,Pro,9,f,f
A-443f6f,Company_304,Cybersecurity,United States,2024-12-07,organic,Basic,19,f,f
A-202b67,Company_305,HealthTech,United States,2024-03-22,organic,Pro,11,f,f
A-00bed1,Company_306,Cybersecurity,United States,2023-11-14,ads,Basic,28,t,f
A-ffc04f,Company_307,EdTech,United States,2024-06-06,ads,Pro,13,f,f
A-65c341,Company_308,FinTech,United States,2023-12-26,ads,Pro,11,t,f
A-dcc2f0,Company_309,FinTech,United Kingdom,2023-07-22,organic,Basic,15,f,f
A-ced9aa,Company_310,DevTools,United States,2024-10-05,other,Enterprise,3,f,f
A-3d957b,Company_311,HealthTech,United Kingdom,2024-04-04,other,Pro,14,f,f
A-89ee83,Company_312,Cybersecurity,United States,2024-10-04,organic,Pro,1,f,t
A-883b7d,Company_313,Cybersecurity,India,2024-03-28,other,Basic,17,f,f
A-dcc3f1,Company_314,HealthTech,United States,2023-12-27,event,Pro,21,f,f
A-c62e55,Company_315,EdTech,United States,2023-02-08,partner,Basic,1,t,f
A-e4144b,Company_316,EdTech,United Kingdom,2024-10-22,other,Pro,41,f,f
A-e40f45,Company_317,HealthTech,United States,2024-04-18,organic,Pro,21,f,f
A-96215d,Company_318,FinTech,United States,2024-08-08,event,Enterprise,10,f,f
A-2b9d3e,Company_319,EdTech,United States,2023-06-04,partner,Enterprise,1,f,f
A-b7724f,Company_320,HealthTech,United Kingdom,2023-03-28,organic,Basic,1,f,f
A-310452,Company_321,DevTools,France,2024-12-25,other,Enterprise,9,f,f
A-eb1312,Company_322,FinTech,United States,2024-09-16,partner,Pro,25,f,f
A-df1e44,Company_323,Cybersecurity,United Kingdom,2024-02-23,organic,Enterprise,12,f,f
A-6a7c9d,Company_324,Cybersecurity,United States,2024-10-24,organic,Enterprise,26,f,t
A-cbd1a3,Company_325,DevTools,United States,2024-11-25,other,Basic,6,f,t
A-a8d89d,Company_326,EdTech,United States,2023-12-08,ads,Pro,13,f,f
A-600734,Company_327,DevTools,United States,2023-11-14,organic,Pro,29,t,t
A-86fc1d,Company_328,DevTools,United Kingdom,2024-07-26,partner,Basic,26,f,f
A-78f02b,Company_329,HealthTech,United States,2024-11-17,event,Enterprise,11,f,f
A-acb7f7,Company_330,EdTech,United States,2024-01-06,ads,Basic,32,f,f
A-712f1c,Company_331,DevTools,United States,2023-12-16,ads,Basic,17,f,t
A-3793ee,Company_332,Cybersecurity,Canada,2023-03-21,organic,Enterprise,49,t,f
A-9a532a,Company_333,HealthTech,United States,2024-07-06,partner,Enterprise,11,f,f
